technology,selection,case_id,bus,site_count,sites,allocations,wind_mw,battery_mw,battery_mwh,npv_eur,lifetime_net_renewable_gain_mwh,interpretation
bess,technical_max_net_RE_gain,bess_a87593d507,Croaghonagh,4,Croaghonagh;Binbane;Ardnagappary;Drumkeen,0.250000;0.250000;0.250000;0.250000,0.0,45.0,220.0,-60422983.5631907,255931.73215018085,best among evaluated designs under stated operator dispatch and assumptions
bess,economic_max_conditional_NPV,NO_BUILD,-,0,-,,0.0,0.0,0.0,0.0,0.0,best among evaluated designs under stated operator dispatch and assumptions
