technology,site_count,sites,wind_mw,battery_mw,battery_mwh,fixed_lifetime_net_renewable_gain_mwh,fixed_lifetime_project_revenue_eur,fixed_lifetime_total_project_cost_undiscounted_eur,fixed_lifetime_system_dispatch_cost_saving_eur,fixed_npv_eur,fixed_simple_payback_years,fixed_discounted_payback_years,dlr_lifetime_net_renewable_gain_mwh,dlr_lifetime_project_revenue_eur,dlr_lifetime_total_project_cost_undiscounted_eur,dlr_lifetime_system_dispatch_cost_saving_eur,dlr_npv_eur,dlr_simple_payback_years,dlr_discounted_payback_years,dlr_standalone_lifetime_gain_mwh,dlr_plus_bess_total_gain_vs_fixed_mwh,dlr_change_in_bess_incremental_gain_mwh,dlr_change_in_conditional_bess_npv_eur,dlr_cost_included_in_conditional_bess_npv
bess,1,Croaghonagh,0.0,22.5,110.0,281012.8387330078,40761593.34223583,97623138.50730976,47876313.00940525,-41129703.0863509,,,274779.9763676871,37819276.20062611,94332880.68784302,42130892.53606871,-40452297.32648702,,,600184.900945189,874964.877312876,-6232.862365320674,677405.7598638833,False
bess,1,Croaghonagh,0.0,45.0,220.0,553004.2217845875,73927244.92142208,185504734.99546328,86144340.6229881,-79856991.61612435,,,515983.929107082,69497615.01756419,180551283.77757776,78126741.16828327,-79580949.85455304,,,600184.900945189,1116168.830052271,-37020.292677505466,276041.761571303,False
bess,1,Croaghonagh,0.0,62.22,226.92,579760.9689732565,79787552.68727839,206301301.609822,91894369.29723118,-92444917.00939502,,,537785.8185393413,71436354.50030893,196962541.09756774,83493584.60317242,-90907513.8551756,,,600184.900945189,1137970.7194845304,-41975.1504339152,1537403.1542194188,False
bess,1,Croaghonagh,0.0,67.5,330.0,795545.681800637,104902609.85421664,270937034.74967563,119739807.0629725,-118941650.80609012,,,745740.7744528428,96701384.95914684,261765982.4662206,108391067.2117626,-117046342.0129398,,,600184.900945189,1345925.6753980317,-49804.90734779427,1895308.7931503206,False
bess,1,Croaghonagh,0.0,85.0,310.0,759382.7477168768,102033172.02354704,273585699.50887126,118070121.86458474,-124119703.65624572,,,707221.0115109693,92785188.81473392,263244105.5872699,106555305.44905344,-123543914.573216,,,600184.900945189,1307405.912456158,-52161.73620590754,575789.0830297172,False
bess,1,Croaghonagh,0.0,90.0,440.0,1027014.4737308782,134099753.84634192,354380831.88055223,150114122.10337627,-157909623.83724087,,,975931.5952618292,120615245.47918025,339301726.88901985,134302436.3711197,-155218773.0617235,,,600184.900945189,1576116.4962070182,-51082.878469049,2690850.7755173743,False
