npv_eur,irr,irr_status,all_irrs,simple_payback_years,discounted_payback_years,sustained_discounted_payback_years,lifecycle_cost_pv_eur,equivalent_annual_cost_eur,lcos_eur_mwh,delivered_lcoe_eur_mwh,hybrid_levelised_export_cost_eur_mwh,additional_break_even_payment_eur_kw_year,initial_capex_eur,undiscounted_lifetime_replacements_eur,year_1_net_cashflow_eur,year_1_project_revenue_eur,year_1_operating_cost_eur,lifetime_project_revenue_eur,lifetime_energy_purchase_eur,lifetime_fixed_and_variable_om_eur,lifetime_maintenance_capex_eur,lifetime_decommission_eur,lifetime_residual_eur,lifetime_net_project_cashflow_eur,lifetime_system_dispatch_cost_saving_eur,pv_system_dispatch_cost_saving_eur,system_saving_included_in_project_cashflow,lifetime_net_renewable_gain_mwh,lifetime_battery_discharge_mwh,lifetime_efc,battery_energy_capex_eur,battery_power_capex_eur,battery_other_bop_capex_eur,wind_capex_eur,connection_capex_eur,shared_site_capex_eur,contingency_eur,site_count,block_hours,annualisation_factor,year_1_project_wind_acceptance_ratio,year_1_added_wind_available_mwh,year_1_total_dispatch_down_change_mwh,year_1_net_renewable_gain_proxy_mwh,block_binding_branch_hours,block_unserved_mwh,new_binding_branches,year_1_passive_constraint_dd_mwh,year_1_passive_constraint_relief_mwh,bus,wind_mw,battery_mw,battery_mwh,maintenance,connection_export_mw,connection_import_mw,battery_placements,case_id,technology,sites,allocations,dlr_label,dlr_mean_multiplier,dlr_max_multiplier,years,assumptions_status,result_scope,lifetime_total_project_cost_undiscounted_eur,single_site_lifetime_gain_mwh,single_site_lifetime_total_project_cost_undiscounted_eur,single_site_npv_eur,technical_gain_delta_vs_single_mwh,undiscounted_cost_delta_vs_single_eur,npv_delta_vs_single_eur
-79856991.61612435,,no_real_irr,,,,,119199182.2434163,11251559.558159592,212.08637912630348,,,181.28356417359663,53790000.00000001,38380000.0,-944356.7287594392,3931214.61903954,4875571.347798979,73927244.92142208,82141383.24602455,10117551.74943873,38380000.0,1613700.0000000002,537900.0000000001,-111577490.0740412,86144340.6229881,45836806.15002968,False,553004.2217845875,1056103.498877458,5060.140153524011,30800000.0,11250000.0,3600000.0,0.0,2950000.0,300000.0,4890000.0,1,168.0,52.142857142857146,,0.0,-35903.14948391799,29663.126279092547,63.0,0.0,,29185.55382151296,1506.4566074723466,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 1.0),)",bess_7c9ae7b89d,bess,Croaghonagh,1.000000,none,1.0,1.0,20,illustrative_distributed_bess_strict_tie_break_not_market_quotes,conditional_design_screen,185504734.99546328,553004.2217845875,185504734.99546328,-79856991.61612435,0.0,0.0,0.0
-80798962.35997023,,no_real_irr,,,,,120141152.98726216,11340474.932635758,213.76239032491395,,,183.42193440688197,54395000.00000001,38380000.0,-975869.2287594388,3931214.619039546,4907083.847798985,73927244.9214221,82141383.24602456,10747801.749438727,38380000.0,1631850.0000000002,543950.0000000001,-112824840.07404122,86144340.62298846,45836806.15002988,False,553004.2217845881,1056103.4988774585,5060.140153524011,30800000.0,11250000.0,3600000.0,0.0,3200000.0,600000.0,4945000.0,2,168.0,52.142857142857146,,0.0,-35903.14948391805,29663.126279092543,67.0,0.0,,29185.55382151293,1506.4566074723705,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 0.5), ('Binbane', 0.5))",bess_82e9b603c3,bess,Croaghonagh;Binbane,0.500000;0.500000,none,1.0,1.0,20,illustrative_distributed_bess_strict_tie_break_not_market_quotes,conditional_design_screen,186752084.9954633,553004.2217845875,185504734.99546328,-79856991.61612435,5.820766091346741e-10,1247350.0000000298,-941970.74384588
-81740933.10381609,,no_real_irr,,,,,121083123.73110802,11429390.307111915,215.43840152352445,,,185.56030464016723,55000000.00000001,38380000.0,-1007381.7287594372,3931214.6190395406,4938596.347798979,73927244.92142208,82141383.24602453,11378051.749438727,38380000.0,1650000.0000000002,550000.0000000001,-114072190.0740412,86144340.6229882,45836806.15002974,False,553004.2217845883,1056103.498877458,5060.140153524011,30800000.0,11250000.0,3600000.0,0.0,3450000.0,900000.0,5000000.0,3,168.0,52.142857142857146,,0.0,-35903.149483918125,29663.126279092558,69.0,0.0,,29185.55382151286,1506.4566074724414,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 0.3333333333333333), ('Binbane', 0.3333333333333333), ('Ardnagappary', 0.3333333333333334))",bess_0132aed50d,bess,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,none,1.0,1.0,20,illustrative_distributed_bess_strict_tie_break_not_market_quotes,conditional_design_screen,187999434.99546328,553004.2217845875,185504734.99546328,-79856991.61612435,8.149072527885437e-10,2494700.0,-1883941.4876917452
-82682903.84766197,,no_real_irr,,,,,122025094.4749539,11518305.681588082,217.11441272213503,,,187.69867487345252,55605000.00000001,38380000.0,-1038894.2287594384,3931214.6190395406,4970108.847798979,73927244.92142206,82141383.24602455,12008301.749438727,38380000.0,1668150.0000000002,556050.0000000001,-115319540.0740412,86144340.62298837,45836806.15002983,False,553004.221784582,1056103.498877458,5060.140153524011,30800000.0,11250000.0,3600000.0,0.0,3700000.0,1200000.0,5055000.0,4,168.0,52.142857142857146,,0.0,-35903.14948391789,29663.126279092536,66.0,0.0,,29185.5538215131,1506.4566074722045,Croaghonagh,0.0,45.0,220.0,replace,,,"(('Croaghonagh', 0.25), ('Binbane', 0.25), ('Ardnagappary', 0.25), ('Drumkeen', 0.25))",bess_a87593d507,bess,Croaghonagh;Binbane;Ardnagappary;Drumkeen,0.250000;0.250000;0.250000;0.250000,none,1.0,1.0,20,illustrative_distributed_bess_strict_tie_break_not_market_quotes,conditional_design_screen,189246784.99546328,553004.2217845875,185504734.99546328,-79856991.61612435,-5.471520125865936e-09,3742050.0,-2825912.231537625
