display_name,scenario_label,wind_dispatch_down_mwh,total_dispatch_down_mwh,target_binding_hours,battery_power_mw,battery_nameplate_energy_mwh,battery_efc_week,scenario,scope,target_label,target_lines,dlr_mode,nominal_max_uplift_pct,dlr_line_count,dlr_lines,mean_dlr_multiplier,max_dlr_multiplier,dlr_added_capacity_mva_hours,solar_dispatch_down_mwh,wind_dispatch_down_saved_mwh,total_dispatch_down_saved_mwh,wind_constraint_component_mwh,wind_constraint_saved_mwh,wind_constraint_reduction_pct,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_line_hours,target_max_dynamic_loading_pct,target_mean_max_dynamic_loading_pct,target_max_static_equivalent_loading_pct,target_mean_dlr_multiplier,target_max_dlr_multiplier,battery_usable_energy_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_max_daily_efc,unserved_ok,target_recovery_ok,target_headroom_ok,battery_cycle_ok,effective_success_mode,criterion_success,combined_success,battery_soc_min_pct,battery_soc_mean_pct,battery_soc_max_pct,simultaneous_charge_discharge_hours,battery_sites,battery_allocations,battery_soc_window,battery_round_trip_efficiency_pct,battery_state_of_health_pct,battery_max_efc_per_day_limit,battery_success_mode,battery_recovery_target,battery_scale_vs_q2,recommendation_status
Baseline,baseline,3660.5902728027468,3660.5902728027468,52.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected DLR,selected_wind_proxy_DLR,3085.0705047731135,3085.0705047731135,29.0,0.0,0.0,0.0,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_selected,40.0,1.0,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,0.0,575.5197680296333,575.5197680296333,13.094130608440537,575.5197680296333,97.77542959166652,358.91953964939603,0.9777542959166646,0.4436996567881641,0.4436996567881641,44.369965678816406,0.0,29.0,100.0,57.78126449074327,121.2195792084242,1.095551488386187,1.2795012677194428,0.0,0.0,0.0,0.0,0.0,True,False,False,True,benchmark,False,False,,,,,,,,,,,,,,
Protected battery,q2_protected_battery_only,2870.1997376748823,2870.1997376748823,61.0,85.0,310.0,6.762381049385846,WP2033,north-west,5041-17010-2,5041-17010-2,none,0.0,0.0,,1.0,1.0,0.0,0.0,790.3905351278645,790.3905351278645,0.0,588.6138986380738,100.0,850.7038459422474,1.3427996466897196,1.0516479677914954,1.0516479677914954,105.16479677914954,0.0,61.0,100.0,64.27087841411877,100.0,1.0,1.0,198.4,1412.269894945423,1271.0429054508809,2683.312800396304,1.709579964863274,True,True,False,True,benchmark,True,True,10.0,30.889145188172638,89.99999999999999,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,1.0,
DLR + feasible downsized battery,wind_proxy_DLR_plus_battery_scale_0.7520,2517.1990604832845,2517.199060483284,35.0,63.92,233.12,6.323303345934647,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1.0,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,0.0,1143.3912123194623,1143.3912123194627,0.0,588.6138986380738,100.0,973.0298097126288,1.942514804636832,1.2028684563561975,1.2028684563561975,120.28684563561976,0.0,35.0,100.0,59.43373919482218,121.2195792084242,1.095551488386187,1.2795012677194428,149.19680000000002,993.0701312028868,893.7631180825981,1886.833249285485,1.7599830462971784,True,True,False,True,benchmark,True,True,10.0,30.36890468318282,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,0.752,FEASIBLE_DOWNSIZED_BESS
