snapshot,1571-5191-1,1341-1701-1,1341-5191-1,2870-17010-1,1701-28712-2,1701-5041-1,5041-17010-2,28710-51911-1,2321-28710-1,3581-28019-1,1631-5041-1,2321-3581-1,1931-4371-1,3591-5191-1,3581-5361-1,4981-5041-1,4981-5041-2,4991-5361-1
2030-01-14 06:00:00,0.016097597670328687,0.1387644275584539,0.08173019246306103,0.3146184494973424,0.3131202664044979,0.20648063126394145,0.8395169554914047,0.3311845760510953,0.10535123500368723,0.15632625257897328,0.5527203013830576,0.3862896672442598,0.34537808086533467,0.053134712838042844,0.06059186338168815,0.21975111716335663,0.21342320541257936,0.11466118287757106
2030-01-14 07:00:00,0.00011530149972263312,0.22998464723821427,0.1552930625433618,0.3862244079275784,0.3843852440803042,0.24595171057990078,1.0,0.4704288643864608,0.10815229733796333,0.010642184473367058,0.6234777221943529,0.306279162886314,0.3668019526764917,0.0003080806551257383,0.23666751678450884,0.236617236086514,0.2298036507541798,0.22487216440015423
2030-01-14 08:00:00,0.009703655362783937,0.22822848811374888,0.18337213377991415,0.4227991048773318,0.42078577580648735,0.24595171057990078,1.0,0.5201424091859437,0.10728909695038508,0.009613876116458461,0.6383302522727271,0.3082595995478769,0.36039589979107006,0.020472042061704283,0.2816292538339877,0.2115792069218891,0.20548661195816983,0.25669044481329567
2030-01-14 09:00:00,0.06417518783098149,0.2811103630116539,0.1640723956856706,0.45833924162171236,0.4561566738044661,0.24595171057990078,1.0,0.6297284558735355,0.004439794652192897,0.03675375419225601,0.6970186367047007,0.15777426304584508,0.4552017267790698,0.04109926246083682,0.2690234112176811,0.33440281965734264,0.32477341909129354,0.25086714856466574
2030-01-14 10:00:00,0.06786326047556615,0.26622730156107094,0.19642960905706958,0.4696437972070579,0.4674073981727385,0.24595171057990078,1.0,0.5977945384975762,0.09178231709036341,0.013128698997045503,0.6756731050694053,0.36386435255142563,0.4527136622437749,0.010663217720606931,0.15395111368445802,0.329614595444947,0.3201230756808255,0.18343780986746028
2030-01-14 11:00:00,0.10554215706977867,0.3071739760779365,0.11703150734614697,0.4377913897345884,0.43570666883109027,0.24595171057990078,1.0,0.6597559395360095,0.09820419104585505,0.08989017474621694,0.7072637049956404,0.09820419104585505,0.4642989185293305,0.11257526779029602,0.25108713331349386,0.347129491463324,0.33713361605469433,0.23957526370602225
2030-01-14 12:00:00,0.0037298200076061085,0.11935623346895298,0.09866770329964186,0.33244000461337775,0.33085695697236167,0.2062762420528628,0.8386859419131834,0.383080336590949,0.1434678204336192,0.18989884209864563,0.3704665784937808,0.4182286267585212,0.33834949030795386,0.05083148152401436,0.03658741330258638,0.15779969166163335,0.15325572148289524,0.11310237353655743
2030-01-14 13:00:00,0.01115747534020042,0.10120818040778139,0.08205970361782637,0.3199134691599901,0.31839007168779965,0.19663354423952398,0.799480287312923,0.39978390002785136,0.1909654155752023,0.22798275397830214,0.4011539844989409,0.44043217842795696,0.32405359513818843,0.06268383474304366,0.01452208994593048,0.1416323670470226,0.13755394810064236,0.09939097668172489
2030-01-14 14:00:00,0.02623202442970062,0.026004966266265243,0.015759175749228544,0.20065865287722298,0.19970313548256952,0.13013749577244565,0.5291180755181969,0.287904694519709,0.2582783526871882,0.2828940285329449,0.31085884050838014,0.47630451716082167,0.3176111335819072,0.09110374287879107,0.027492978017466786,0.13001541380395082,0.12627151445357532,0.07398955438334603
2030-01-14 15:00:00,0.019640292399944633,0.21086028798062376,0.13907914702897886,0.3878812655858864,0.38603421194023935,0.24595171057990078,1.0,0.5362557596734693,0.02895914050737275,0.0729571499384929,0.5771803137030178,0.4375880567430683,0.37318850274337995,0.03684041263283446,0.08566490071443138,0.21369544696374898,0.20754191315065673,0.14107879195972822
