case_id,technology,site_count,sites,allocations,wind_mw,battery_mw,battery_mwh,lifetime_net_renewable_gain_mwh,year_1_project_revenue_eur,year_1_operating_cost_eur,lifetime_project_revenue_eur,lifetime_energy_purchase_eur,lifetime_fixed_and_variable_om_eur,lifetime_maintenance_capex_eur,initial_capex_eur,lifetime_decommission_eur,lifetime_residual_eur,lifetime_net_project_cashflow_eur,lifecycle_cost_pv_eur,lifetime_system_dispatch_cost_saving_eur,pv_system_dispatch_cost_saving_eur,system_saving_included_in_project_cashflow,npv_eur,simple_payback_years,discounted_payback_years,additional_break_even_payment_eur_kw_year
NO_BUILD,no_build,0,-,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
bess_7c9ae7b89d,bess,1,Croaghonagh,1.000000,0.0,45.0,220.0,553004.2217845875,3931214.6190395397,4875571.347798979,73927244.92142208,82141383.24602455,10117551.74943873,38380000.0,53790000.00000001,1613700.0000000002,537900.0000000001,-111577490.0740412,119199182.2434163,86144340.6229881,45836806.15002968,False,-79856991.61612435,,,181.28356417359663
bess_82e9b603c3,bess,2,Croaghonagh;Binbane,0.500000;0.500000,0.0,45.0,220.0,553004.2217845881,3931214.6190395467,4907083.847798985,73927244.9214221,82141383.24602456,10747801.749438727,38380000.0,54395000.00000001,1631850.0000000002,543950.0000000001,-112824840.07404122,120141152.98726217,86144340.62298846,45836806.150029875,False,-80798962.35997023,,,183.42193440688195
bess_0132aed50d,bess,3,Croaghonagh;Binbane;Ardnagappary,0.333333;0.333333;0.333333,0.0,45.0,220.0,553004.2217845883,3931214.6190395406,4938596.347798979,73927244.92142208,82141383.24602453,11378051.749438727,38380000.0,55000000.00000001,1650000.0000000002,550000.0000000001,-114072190.07404119,121083123.73110802,86144340.6229882,45836806.15002974,False,-81740933.10381609,,,185.56030464016723
bess_a87593d507,bess,4,Croaghonagh;Binbane;Ardnagappary;Drumkeen,0.250000;0.250000;0.250000;0.250000,0.0,45.0,220.0,553004.221784582,3931214.6190395406,4970108.847798979,73927244.92142206,82141383.24602455,12008301.749438727,38380000.0,55605000.00000001,1668150.0000000002,556050.0000000001,-115319540.0740412,122025094.4749539,86144340.62298837,45836806.15002983,False,-82682903.84766197,,,187.69867487345255
