technology,selection,case_id,bus,site_count,sites,allocations,wind_mw,battery_mw,battery_mwh,npv_eur,lifetime_net_renewable_gain_mwh,interpretation
bess,technical_max_net_RE_gain,bess_7c9ae7b89d,Croaghonagh,1,Croaghonagh,1.000000,0.0,45.0,220.0,-79856991.61612435,553004.2217845875,best among evaluated designs under stated operator dispatch and assumptions
bess,economic_max_conditional_NPV,NO_BUILD,-,0,-,,0.0,0.0,0.0,0.0,0.0,best among evaluated designs under stated operator dispatch and assumptions
