left_mode_id,right_mode_id,ac_component,membership_jaccard,positive_relief_cosine,merged
3581-89516-1::+1,T3662-36671-1::+1,3,0.0,0.025479533241663306,False
3581-89516-1::+1,T89510-89515-1::-1,3,0.8157894736842105,0.8410363762362721,False
3581-89516-1::+1,T89515-89516-1::-1,3,0.9459459459459459,0.9435165994884708,False
3581-89516-1::+1,2742-3662-1::+1,3,0.0,0.04885696642139412,False
3581-89516-1::+1,2781-4951-1::-1,3,0.0,0.025168913037532426,False
3581-89516-1::+1,1122-11260-1::-1,3,0.0,1.6970950352230892e-14,False
3581-89516-1::+1,T54640-54630-1::+1,3,0.0,0.8730578896304508,False
T3662-36671-1::+1,T89510-89515-1::-1,3,0.0,0.021429214305839196,False
T3662-36671-1::+1,T89515-89516-1::-1,3,0.0,0.024040362560499743,False
T3662-36671-1::+1,2742-3662-1::+1,3,0.0,0.0,False
T3662-36671-1::+1,2781-4951-1::-1,3,0.0,0.0,False
T3662-36671-1::+1,1122-11260-1::-1,3,0.0,0.0938004646889043,False
T3662-36671-1::+1,T54640-54630-1::+1,3,0.0,0.0,False
T89510-89515-1::-1,T89515-89516-1::-1,3,0.863013698630137,0.8913848221561264,False
T89510-89515-1::-1,2742-3662-1::+1,3,0.0,0.04109048599301729,False
T89510-89515-1::-1,2781-4951-1::-1,3,0.0,0.021167971414881286,False
T89510-89515-1::-1,1122-11260-1::-1,3,0.0,1.4273186585563703e-14,False
T89510-89515-1::-1,T54640-54630-1::+1,3,0.0,0.788335566785665,False
T89515-89516-1::-1,2742-3662-1::+1,3,0.0,0.04609735881899404,False
T89515-89516-1::-1,2781-4951-1::-1,3,0.0,0.023747287242084254,False
T89515-89516-1::-1,1122-11260-1::-1,3,0.0,1.601237336634279e-14,False
T89515-89516-1::-1,T54640-54630-1::+1,3,0.0,0.8495134453148981,False
2742-3662-1::+1,2781-4951-1::-1,3,0.0,0.0,False
2742-3662-1::+1,1122-11260-1::-1,3,0.0,0.09598988334640998,False
2742-3662-1::+1,T54640-54630-1::+1,3,0.0,0.0,False
2781-4951-1::-1,1122-11260-1::-1,3,0.0,2.4053308654612083e-14,False
2781-4951-1::-1,T54640-54630-1::+1,3,0.0,0.08278984825937025,False
1122-11260-1::-1,T54640-54630-1::+1,3,0.0,7.712062785023768e-15,False
