timestamp_utc,duration_hours,price_eur_mwh,market_date,source_file
2022-01-02T14:00:00Z,1.0,96.0,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T15:00:00Z,1.0,56.83,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T16:00:00Z,1.0,120.0,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T17:00:00Z,1.0,162.0,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T18:00:00Z,1.0,133.02,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T19:00:00Z,1.0,99.74,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T20:00:00Z,1.0,79.0,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T21:00:00Z,1.0,88.91,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T22:00:00Z,1.0,0.0,2022-01-02,MarketResult_SEM-DA_PWR-MRC-D+1_20220101110000_20220101114245.csv
2022-01-02T23:00:00Z,1.0,-10.1,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T00:00:00Z,1.0,-10.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T01:00:00Z,1.0,-10.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T02:00:00Z,1.0,-18.88,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T03:00:00Z,1.0,-25.78,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T04:00:00Z,1.0,-19.7,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T05:00:00Z,1.0,0.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T06:00:00Z,1.0,4.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T07:00:00Z,1.0,23.6,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T08:00:00Z,1.0,58.26,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T09:00:00Z,1.0,82.17,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T10:00:00Z,1.0,102.2,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T11:00:00Z,1.0,112.12,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T12:00:00Z,1.0,125.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T13:00:00Z,1.0,134.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T14:00:00Z,1.0,136.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T15:00:00Z,1.0,137.0,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T16:00:00Z,1.0,179.49,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T17:00:00Z,1.0,251.91,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T18:00:00Z,1.0,220.92,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T19:00:00Z,1.0,184.08,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T20:00:00Z,1.0,154.56,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T21:00:00Z,1.0,149.44,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T22:00:00Z,1.0,120.24,2022-01-03,MarketResult_SEM-DA_PWR-MRC-D+1_20220102110000_20220102113632.csv
2022-01-03T23:00:00Z,1.0,129.7,2022-01-04,MarketResult_SEM-DA_PWR-MRC-D+1_20220103110000_20220103113620.csv
