month,cpi_dec2023_100,to_real_2024_eur_factor
2019-01,82.9,1.2147165259348611
2019-02,83.6,1.2045454545454546
2019-03,84.2,1.1959619952494063
2019-04,84.5,1.191715976331361
2019-05,84.4,1.193127962085308
2019-06,84.6,1.190307328605201
2019-07,84.5,1.191715976331361
2019-08,84.9,1.1861012956419317
2019-09,84.7,1.1889020070838252
2019-10,84.5,1.191715976331361
2019-11,84.4,1.193127962085308
2019-12,84.5,1.191715976331361
2020-01,84.0,1.1988095238095238
2020-02,84.5,1.191715976331361
2020-03,84.8,1.1875
2020-04,84.5,1.191715976331361
2020-05,84.0,1.1988095238095238
2020-06,84.3,1.1945432977461448
2020-07,84.1,1.197384066587396
2020-08,84.0,1.1988095238095238
2020-09,83.7,1.2031063321385902
2020-10,83.3,1.2088835534213687
2020-11,83.5,1.205988023952096
2020-12,83.7,1.2031063321385902
2021-01,83.8,1.2016706443914082
2021-02,84.1,1.197384066587396
2021-03,84.8,1.1875
2021-04,85.3,1.1805392731535758
2021-05,85.5,1.1777777777777778
2021-06,85.6,1.1764018691588787
2021-07,85.9,1.1722933643771827
2021-08,86.5,1.1641618497109827
2021-09,86.8,1.1601382488479264
2021-10,87.4,1.1521739130434783
2021-11,87.9,1.1456200227531286
2021-12,88.4,1.1391402714932126
2022-01,88.0,1.1443181818181818
2022-02,88.8,1.1340090090090091
2022-03,90.5,1.112707182320442
2022-04,91.3,1.1029572836801753
2022-05,92.2,1.0921908893709327
2022-06,93.4,1.0781584582441113
2022-07,93.8,1.0735607675906185
2022-08,93.9,1.0724174653887113
2022-09,94.0,1.0712765957446808
2022-10,95.5,1.0544502617801048
2022-11,95.8,1.0511482254697286
2022-12,95.6,1.0533472803347281
2023-01,94.8,1.0622362869198312
2023-02,96.4,1.0446058091286308
2023-03,97.4,1.0338809034907597
2023-04,97.9,1.0286006128702758
2023-05,98.3,1.02441505595117
2023-06,99.1,1.0161453077699294
2023-07,99.3,1.014098690835851
2023-08,99.9,1.008008008008008
2023-09,100.0,1.0070000000000001
2023-10,100.3,1.003988035892323
2023-11,99.5,1.0120603015075378
2023-12,100.0,1.0070000000000001
2024-01,98.7,1.0202634245187436
2024-02,99.7,1.0100300902708124
2024-03,100.2,1.0049900199600799
2024-04,100.4,1.002988047808765
2024-05,100.9,0.998017839444995
2024-06,101.3,0.9940769990128332
2024-07,101.5,0.9921182266009853
2024-08,101.6,0.9911417322834647
2024-09,100.7,1.0
2024-10,101.0,0.997029702970297
2024-11,100.5,1.0019900497512437
2024-12,101.4,0.9930966469428008
2025-01,100.6,1.0009940357852884
2025-02,101.5,0.9921182266009853
2025-03,102.2,0.9853228962818004
2025-04,102.6,0.9814814814814815
2025-05,102.6,0.9814814814814815
2025-06,103.1,0.9767216294859361
2025-07,103.2,0.9757751937984496
2025-08,103.6,0.9720077220077221
2025-09,103.4,0.9738878143133463
2025-10,103.9,0.9692011549566891
2025-11,103.7,0.9710703953712633
2025-12,104.2,0.9664107485604606
2026-01,103.3,0.9748305905130688
2026-02,104.2,0.9664107485604606
2026-03,105.9,0.9508970727101038
2026-04,106.4,0.9464285714285714
2026-05,106.3,0.9473189087488242
2026-06,106.6,0.9446529080675423
2026-07,106.7,0.943767572633552
2026-08,107.4,0.9376163873370577
