snapshot,5041-17010-2
2030-01-14 06:00:00,0.4338763056132827
2030-01-14 07:00:00,0.5783931451432192
2030-01-14 08:00:00,0.5862912638731845
2030-01-14 09:00:00,0.7298456028402202
2030-01-14 10:00:00,0.6783842772872004
2030-01-14 11:00:00,0.7739482556114661
2030-01-14 12:00:00,0.38750503491093835
2030-01-14 13:00:00,0.38346088672285894
2030-01-14 14:00:00,0.2873803271440698
2030-01-14 15:00:00,0.5837088220553678
2030-01-14 16:00:00,0.5039268570485079
2030-01-14 17:00:00,0.6010434592552507
2030-01-14 18:00:00,0.4774102680588314
2030-01-14 19:00:00,0.5009019228394009
2030-01-14 20:00:00,0.35340198164453357
2030-01-14 21:00:00,0.3798702256481549
2030-01-14 22:00:00,0.33151973800635437
2030-01-14 23:00:00,0.5421380159456772
2030-01-15 00:00:00,0.6842554597444548
2030-01-15 01:00:00,0.728940856991902
2030-01-15 02:00:00,0.7352423303754898
2030-01-15 03:00:00,0.8175589114928843
2030-01-15 04:00:00,0.8424469377284208
2030-01-15 05:00:00,0.806492646657499
2030-01-15 06:00:00,0.7130643869687324
2030-01-15 07:00:00,0.5965090101870304
2030-01-15 08:00:00,0.6513870918083913
2030-01-15 09:00:00,0.7142392109304719
2030-01-15 10:00:00,0.6182511629859001
2030-01-15 11:00:00,0.6654356628161682
2030-01-15 12:00:00,0.562921789164932
2030-01-15 13:00:00,0.4355438950129901
2030-01-15 14:00:00,0.32731183067452757
2030-01-15 15:00:00,0.2656972022950472
2030-01-15 16:00:00,0.2289760580729435
2030-01-15 17:00:00,0.20524933506483298
2030-01-15 18:00:00,0.2715618069293568
2030-01-15 19:00:00,0.21900197011724243
2030-01-15 20:00:00,0.23605049352269425
2030-01-15 21:00:00,0.1485566436600023
2030-01-15 22:00:00,0.10945994126550028
2030-01-15 23:00:00,0.08630644636193997
2030-01-16 00:00:00,0.1619214557132609
2030-01-16 01:00:00,0.1270576588330935
2030-01-16 02:00:00,0.03587042833804107
2030-01-16 03:00:00,0.10301920713653331
2030-01-16 04:00:00,0.24564559664535035
2030-01-16 05:00:00,0.17943340555380044
2030-01-16 06:00:00,0.18935418244666402
2030-01-16 07:00:00,0.17941026275952351
2030-01-16 08:00:00,0.2704822472633282
2030-01-16 09:00:00,0.21537848515949942
2030-01-16 10:00:00,0.20669344977082635
2030-01-16 11:00:00,0.16524591656626508
2030-01-16 12:00:00,0.23148568094296262
2030-01-16 13:00:00,0.30048027104004293
2030-01-16 14:00:00,0.3592235889754137
2030-01-16 15:00:00,0.37787207571667675
2030-01-16 16:00:00,0.46250326936994196
2030-01-16 17:00:00,0.6866131606620909
2030-01-16 18:00:00,0.5197862462432932
2030-01-16 19:00:00,0.5136364946816304
2030-01-16 20:00:00,0.4478404696741327
2030-01-16 21:00:00,0.4056727887999728
2030-01-16 22:00:00,0.42136525247802864
2030-01-16 23:00:00,0.41278481621796026
2030-01-17 00:00:00,0.513588695413492
2030-01-17 01:00:00,0.5009502213329328
2030-01-17 02:00:00,0.5627989327283137
2030-01-17 03:00:00,0.5759625470618467
2030-01-17 04:00:00,0.5138672935221436
2030-01-17 05:00:00,0.49497701094206675
2030-01-17 06:00:00,0.45834641443333496
2030-01-17 07:00:00,0.3223793754679015
2030-01-17 08:00:00,0.37311494534829
2030-01-17 09:00:00,0.24688373731846822
2030-01-17 10:00:00,0.236714568893064
2030-01-17 11:00:00,0.21769521238403888
2030-01-17 12:00:00,0.265419384142164
2030-01-17 13:00:00,0.22816743533003284
2030-01-17 14:00:00,0.18352525312044307
2030-01-17 15:00:00,0.15171679793705795
2030-01-17 16:00:00,0.12448279298908983
2030-01-17 17:00:00,0.1061207933574781
2030-01-17 18:00:00,0.0989592345439614
2030-01-17 19:00:00,0.1047725348002768
2030-01-17 20:00:00,0.11254611914053499
2030-01-17 21:00:00,0.12640187799096997
2030-01-17 22:00:00,0.15922585356902902
2030-01-17 23:00:00,0.18693742782920145
2030-01-18 00:00:00,0.22670493731540223
2030-01-18 01:00:00,0.21229928946566437
2030-01-18 02:00:00,0.1990891875713777
2030-01-18 03:00:00,0.18638466335079382
2030-01-18 04:00:00,0.1901522967355298
2030-01-18 05:00:00,0.10701281413101896
2030-01-18 06:00:00,0.16378043930586517
2030-01-18 07:00:00,0.14442721812445478
2030-01-18 08:00:00,0.08571350461498671
2030-01-18 09:00:00,0.13298183829542037
2030-01-18 10:00:00,0.13574856295158286
2030-01-18 11:00:00,0.16159327831703232
2030-01-18 12:00:00,0.34584751547639114
2030-01-18 13:00:00,0.25016400472071537
2030-01-18 14:00:00,0.3377557231983563
2030-01-18 15:00:00,0.42426303257440146
2030-01-18 16:00:00,0.513827081417453
2030-01-18 17:00:00,0.47772602552785665
2030-01-18 18:00:00,0.34291144985766564
2030-01-18 19:00:00,0.31367767410933056
2030-01-18 20:00:00,0.41063424518391384
2030-01-18 21:00:00,0.4078973689368386
2030-01-18 22:00:00,0.386905298103867
2030-01-18 23:00:00,0.6465298554609411
2030-01-19 00:00:00,0.7868282232496834
2030-01-19 01:00:00,0.8937426425182865
2030-01-19 02:00:00,0.8755215068933788
2030-01-19 03:00:00,0.8751316982074281
2030-01-19 04:00:00,0.8696888398836786
2030-01-19 05:00:00,0.8568672995994069
2030-01-19 06:00:00,0.797460823197549
2030-01-19 07:00:00,0.7345911804555114
2030-01-19 08:00:00,0.6339801326075147
2030-01-19 09:00:00,0.5784743488442764
2030-01-19 10:00:00,0.4284530341633895
2030-01-19 11:00:00,0.3989478912434995
2030-01-19 12:00:00,0.4465033090596591
2030-01-19 13:00:00,0.35460619266475474
2030-01-19 14:00:00,0.2887720038396326
2030-01-19 15:00:00,0.29148550072981905
2030-01-19 16:00:00,0.5954813305067804
2030-01-19 17:00:00,0.7304894802106048
2030-01-19 18:00:00,0.606667620836211
2030-01-19 19:00:00,0.5684927811800452
2030-01-19 20:00:00,0.6288603593640882
2030-01-19 21:00:00,0.6494440698026828
2030-01-19 22:00:00,0.8575223441308708
2030-01-19 23:00:00,0.8921938138014373
2030-01-20 00:00:00,0.8987531692986069
2030-01-20 01:00:00,0.896287111648896
2030-01-20 02:00:00,0.8638988122216233
2030-01-20 03:00:00,0.7568882575553476
2030-01-20 04:00:00,0.6348823331787673
2030-01-20 05:00:00,0.4142702606134722
2030-01-20 06:00:00,0.43819533419591694
2030-01-20 07:00:00,0.3607940551414622
2030-01-20 08:00:00,0.5962681981014228
2030-01-20 09:00:00,0.522249894176534
2030-01-20 10:00:00,0.570549774593998
2030-01-20 11:00:00,0.5284150558876567
2030-01-20 12:00:00,0.6203686352002725
2030-01-20 13:00:00,0.6927636880559502
2030-01-20 14:00:00,0.4643569601066442
2030-01-20 15:00:00,0.587339502759951
2030-01-20 16:00:00,0.46091856209349347
2030-01-20 17:00:00,0.5953585133762898
2030-01-20 18:00:00,0.5192564710435806
2030-01-20 19:00:00,0.5539843014014977
2030-01-20 20:00:00,0.5701840325466307
2030-01-20 21:00:00,0.36985778072560443
2030-01-20 22:00:00,0.2509603827862519
2030-01-20 23:00:00,0.07567987665222457
2030-01-21 00:00:00,0.07258019989916852
2030-01-21 01:00:00,0.06266670605107862
2030-01-21 02:00:00,0.09856936175522772
2030-01-21 03:00:00,0.08201595419294344
2030-01-21 04:00:00,0.1094835412502055
2030-01-21 05:00:00,0.16242839415992022
