scenario_label,scenario,scope,target_label,target_lines,dlr_mode,nominal_max_uplift_pct,dlr_line_count,dlr_lines,mean_dlr_multiplier,max_dlr_multiplier,dlr_added_capacity_mva_hours,total_dispatch_down_mwh,wind_dispatch_down_mwh,solar_dispatch_down_mwh,wind_dispatch_down_saved_mwh,total_dispatch_down_saved_mwh,wind_constraint_component_mwh,wind_constraint_saved_mwh,wind_constraint_reduction_pct,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_dynamic_loading_pct,target_mean_max_dynamic_loading_pct,target_max_static_equivalent_loading_pct,target_mean_dlr_multiplier,target_max_dlr_multiplier,battery_power_mw,battery_nameplate_energy_mwh,battery_usable_energy_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_efc_week,battery_max_daily_efc,battery_soc_min_pct,battery_soc_mean_pct,battery_soc_max_pct,simultaneous_charge_discharge_hours,battery_sites,battery_allocations,battery_soc_window,battery_round_trip_efficiency_pct,battery_state_of_health_pct,battery_max_efc_per_day_limit,battery_success_mode,battery_recovery_target,unserved_ok,target_recovery_ok,target_headroom_ok,battery_cycle_ok,effective_success_mode,criterion_success,combined_success,battery_scale_vs_q2
wind_proxy_DLR_plus_battery_scale_0.0010,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3084.063976922743,3084.0639769227437,0.0,576.5262958800031,576.5262958800035,12.087602758070716,576.5262958800031,97.94642926610486,-573.3463295957226,0.9794642926610486,-0.7087760390835101,-0.7087760390835101,-70.877603908351,0.0,29.0,29.0,100.0,57.784103147324096,121.2195792084242,1.095551488386187,1.2795012677194428,0.085,0.31,0.19840000000000002,2.0656598129623442,1.8590938316661096,3.9247536446284537,9.891012209245094,3.1832962766947297,10.0,30.943209925501325,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.001
wind_proxy_DLR_plus_battery_scale_0.0020,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3083.0574490723734,3083.0574490723734,0.0,577.5328237303734,577.5328237303734,11.08107490770044,577.5328237303734,98.11742894054325,-572.3789337079434,0.9811742894054318,-0.707580135333591,-0.707580135333591,-70.7580135333591,0.0,29.0,29.0,100.0,57.786941803904924,121.2195792084242,1.095551488386187,1.2795012677194428,0.17,0.62,0.39680000000000004,4.1313196259246885,3.7181876633322193,7.849507289256907,9.891012209245094,3.1832962766947297,10.0,30.943209925501325,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.002
wind_proxy_DLR_plus_battery_scale_0.0030,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3082.050921222003,3082.0509212220036,0.0,578.5393515807432,578.5393515807436,10.07454705733062,578.5393515807432,98.28842861498157,-545.1720148611494,0.9828842861498158,-0.6739466904495984,-0.6739466904495984,-67.39466904495984,0.0,29.0,29.0,100.0,57.78973824220645,121.2195792084242,1.095551488386187,1.2795012677194428,0.255,0.93,0.5952000000000001,6.196979438887032,5.577281494998329,11.774260933885362,9.891012209245094,3.0149967966877282,10.0,33.118125986806646,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.003
wind_proxy_DLR_plus_battery_scale_0.0040,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3081.0443933716338,3081.0443933716338,0.0,579.545879431113,579.545879431113,9.068019206960798,579.545879431113,98.4594282894199,-544.1654870107777,0.9845942828941983,-0.6727024114053484,-0.6727024114053484,-67.27024114053484,0.0,29.0,29.0,100.0,57.79256282602751,121.2195792084242,1.095551488386187,1.2795012677194428,0.34,1.24,0.7936000000000001,8.262639251849375,7.436375326664439,15.699014578513815,9.891012209245094,3.0149967966877282,10.0,33.11812598680665,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.004
wind_proxy_DLR_plus_battery_scale_0.0050,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3080.037865521264,3080.0378655212635,0.0,580.5524072814833,580.5524072814828,8.061491356590523,580.5524072814833,98.6304279638583,-543.1589591604061,0.9863042796385815,-0.6714581323610983,-0.6714581323610983,-67.14581323610983,0.0,29.0,29.0,100.0,57.795387409848566,121.2195792084242,1.095551488386187,1.2795012677194428,0.425,1.55,0.9920000000000002,10.328299064811722,9.295469158330548,19.62376822314227,9.891012209245094,3.0149967966877282,10.0,33.118125986806646,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.005
wind_proxy_DLR_plus_battery_scale_0.0060,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3079.031337670894,3079.031337670894,0.0,581.5589351318526,581.5589351318526,7.054963506221156,581.5589351318526,98.80142763829654,-542.1524313100381,0.9880142763829647,-0.6702138533168527,-0.6702138533168527,-67.02138533168527,0.0,29.0,29.0,100.0,57.798211993669625,121.2195792084242,1.095551488386187,1.2795012677194428,0.51,1.86,1.1904000000000001,12.393958877774065,11.154562989996657,23.548521867770724,9.891012209245094,3.0149967966877282,10.0,33.118125986806646,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.006
wind_proxy_DLR_plus_battery_scale_0.0070,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3078.0248098205243,3078.0248098205243,0.0,582.5654629822225,582.5654629822225,6.0484356558513355,582.5654629822225,98.97242731273487,-541.1459034596701,0.9897242731273479,-0.6689695742726072,-0.6689695742726072,-66.89695742726072,0.0,29.0,29.0,100.0,57.801036577490684,121.2195792084242,1.095551488386187,1.2795012677194428,0.595,2.17,1.3888,14.45961869073641,13.013656821662765,27.473275512399177,9.891012209245096,3.0149967966877287,10.0,33.118125986806646,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.007
wind_proxy_DLR_plus_battery_scale_0.0080,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3077.018281970154,3077.018281970154,0.0,583.5719908325927,583.5719908325927,5.04190780548106,583.5719908325927,99.14342698717327,-540.1393756092984,0.9914342698717319,-0.6677252952283571,-0.6677252952283571,-66.77252952283571,0.0,29.0,29.0,100.0,57.803861161311744,121.2195792084242,1.095551488386187,1.2795012677194428,0.68,2.48,1.5872000000000002,16.52527850369875,14.872750653328877,31.39802915702763,9.891012209245094,3.0149967966877282,10.0,33.11812598680665,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.008
wind_proxy_DLR_plus_battery_scale_0.0090,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3076.0117541197847,3076.011754119784,0.0,584.5785186829626,584.5785186829621,4.035379955111239,584.5785186829626,99.31442666161159,-539.1328477589268,0.9931442666161143,-0.666481016184107,-0.666481016184107,-66.6481016184107,0.0,29.0,29.0,100.0,57.8066857451328,121.2195792084242,1.095551488386187,1.2795012677194428,0.7649999999999999,2.7899999999999996,1.7855999999999999,18.590938316661095,16.731844484994987,35.32278280165608,9.891012209245096,3.0149967966877287,10.0,33.11812598680665,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.009
wind_proxy_DLR_plus_battery_scale_0.0100,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3075.005226269414,3075.005226269414,0.0,585.5850465333328,585.5850465333328,3.028852104740963,585.5850465333328,99.48542633604998,-538.1263199085588,0.9948542633604991,-0.6652367371398614,-0.6652367371398614,-66.52367371398614,0.0,29.0,29.0,100.0,57.80951032895386,121.2195792084242,1.095551488386187,1.2795012677194428,0.85,3.1,1.9840000000000004,20.656598129623443,18.590938316661095,39.24753644628454,9.891012209245094,3.0149967966877282,10.0,33.118125986806646,90.00000000000001,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,True,False,False,True,benchmark,False,False,0.01
