rating_case,neutral_dispatch_down_mwh,priority_dispatch_down_mwh,priority_minus_neutral_dispatch_down_mwh,neutral_physical_cost_eur,priority_physical_cost_eur
static,696.37335357057,696.3733535705699,-1.1368683772161603e-13,-841361.760720219,-841361.760720219
q3_dlr,527.6784722727838,527.6784722727839,1.1368683772161603e-13,-873249.2104241045,-873249.2104241045
