component,branch,bus0,bus1,peak_loading_pu,binding_hours
Line,1571-5191-1,Ardnagappary,Tievebrack,0.15024338597269973,0.0
Line,1341-1701-1,Binbane,Cathaleen's Fall,0.4260721153466588,0.0
Line,1341-5191-1,Binbane,Tievebrack,0.32356600875908637,0.0
Line,2870-17010-1,Clogher,Cathaleen's Fall,0.5546420075099653,0.0
Line,1701-28712-2,Cathaleen's Fall,Clogher,0.5520008550932511,0.0
Line,1701-5041-1,Cathaleen's Fall,Srananagh 220,0.2981416286208772,0.0
Line,5041-17010-2,Srananagh 220,Cathaleen's Fall,1.0,29.0
Line,28710-51911-1,Clogher,Croaghonagh,0.6772294354422566,0.0
Line,2321-28710-1,Drumkeen,Clogher,0.485113551617719,0.0
Line,3581-28019-1,Letterkenny,Clogher,0.4591487351463967,0.0
Line,1631-5041-1,Corderry,Srananagh 220,0.7253482122984465,0.0
Line,2321-3581-1,Drumkeen,Letterkenny,0.555965509722202,0.0
Line,1931-4371-1,Sligo,Glenree,0.6139339341536177,0.0
Line,3591-5191-1,Letterkenny,Tievebrack,0.29316845077694803,0.0
Line,3581-5361-1,Letterkenny,Trillick,0.6277757068914387,0.0
Line,4981-5041-1,Sligo,Srananagh 220,0.5988341555570869,0.0
Line,4981-5041-2,Sligo,Srananagh 220,0.5815902400829303,0.0
Line,4991-5361-1,Sorne Hill,Trillick,0.4613280474038522,0.0
