technology,selection,case_id,bus,site_count,sites,allocations,wind_mw,battery_mw,battery_mwh,npv_eur,lifetime_net_renewable_gain_mwh,interpretation
bess,technical_max_net_RE_gain,bess_0f03f4b792,Croaghonagh,1,Croaghonagh,1.000000,0.0,90.0,440.0,-155218773.0617235,975931.5952618292,best among evaluated designs under stated operator dispatch and assumptions
bess,economic_max_conditional_NPV,NO_BUILD,-,0,-,,0.0,0.0,0.0,0.0,0.0,best among evaluated designs under stated operator dispatch and assumptions
