display_name,scenario_label,wind_dispatch_down_mwh,total_dispatch_down_mwh,target_binding_hours,battery_power_mw,battery_nameplate_energy_mwh,battery_efc_week,scenario,scope,target_label,target_lines,dlr_mode,nominal_max_uplift_pct,dlr_line_count,dlr_lines,mean_dlr_multiplier,max_dlr_multiplier,dlr_added_capacity_mva_hours,solar_dispatch_down_mwh,wind_dispatch_down_saved_mwh,total_dispatch_down_saved_mwh,wind_constraint_component_mwh,wind_constraint_saved_mwh,wind_constraint_reduction_pct,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_line_hours,target_max_dynamic_loading_pct,target_mean_max_dynamic_loading_pct,target_max_static_equivalent_loading_pct,target_mean_dlr_multiplier,target_max_dlr_multiplier,battery_usable_energy_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_max_daily_efc,unserved_ok,target_recovery_ok,target_headroom_ok,battery_cycle_ok,effective_success_mode,criterion_success,combined_success,battery_soc_min_pct,battery_soc_mean_pct,battery_soc_max_pct,simultaneous_charge_discharge_hours,battery_sites,battery_allocations,battery_soc_window,battery_round_trip_efficiency_pct,battery_state_of_health_pct,battery_max_efc_per_day_limit,battery_success_mode,battery_recovery_target,battery_scale_vs_q2,recommendation_status
Baseline,baseline,3660.5902728027468,3660.5902728027468,52.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selected DLR,selected_wind_proxy_DLR,3085.0705047731135,3085.0705047731135,29.0,0.0,0.0,0.0,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_selected,40.0,1.0,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,0.0,575.5197680296333,575.5197680296333,13.094130608440537,575.5197680296333,97.77542959166652,358.91953964939603,0.9777542959166646,0.4436996567881641,0.4436996567881641,44.369965678816406,0.0,29.0,100.0,57.78126449074327,121.2195792084242,1.095551488386187,1.2795012677194428,0.0,0.0,0.0,0.0,0.0,True,False,False,True,benchmark,False,False,,,,,,,,,,,,,,
Protected battery,q2_protected_battery_only,2607.098236348873,2607.0982363488724,68.0,90.0,440.0,6.1363312938162125,WP2033,north-west,5041-17010-2,5041-17010-2,none,0.0,0.0,,1.0,1.0,0.0,0.0,1053.4920364538739,1053.4920364538743,0.0,588.6138986380738,100.0,1263.8534275785496,1.7897845071131142,1.5623873043939778,1.5623873043939778,156.23873043939778,0.0,68.0,100.0,64.81936078926499,100.0,1.0,1.0,281.6,1818.9377814091008,1637.0440032681904,3455.981784677291,1.865026307246459,True,True,False,True,benchmark,True,True,10.0,30.984688658297166,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,1.0,
DLR + feasible downsized battery,wind_proxy_DLR_plus_battery_scale_0.7100,2356.7476218284687,2356.747621828469,37.0,63.9,312.4,5.989240236106555,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy_plus_protected_battery,40.0,1.0,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,0.0,1303.842650974278,1303.8426509742776,0.0,588.6138986380738,100.0,1020.202182904839,2.2151068025934975,1.2611833806863477,1.2611833806863477,126.11833806863477,0.0,37.0,100.0,59.7815716144002,121.2195792084242,1.095551488386187,1.2795012677194428,199.936,1260.4891956275792,1134.4402760648213,2394.9294716924005,1.6535283434084616,True,True,False,True,benchmark,True,True,10.0,31.846616205270244,90.0,0.0,Croaghonagh,1.000000,10.0-90.0%,90.0,80.0,,benchmark,0.99,0.71,FEASIBLE_DOWNSIZED_BESS
