snapshot,duration_h,project_wind_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,pcc_export_mw,pcc_import_mw
2030-01-14 06:00:00,1.0,9.990662004028628,0.0,0.0,0.0,9.990662004028628,0.0
2030-01-14 07:00:00,1.0,13.756328437779072,0.0,0.0,0.0,13.756328437779072,0.0
2030-01-14 08:00:00,1.0,14.203717764850513,0.0,0.0,0.0,14.203717764850513,0.0
2030-01-14 09:00:00,1.0,17.320763898167492,0.0,0.0,0.0,17.320763898167492,0.0
2030-01-14 10:00:00,1.0,16.09024130751712,0.0,0.0,0.0,16.09024130751712,0.0
2030-01-14 11:00:00,1.0,18.375851751593444,0.0,0.0,0.0,18.375851751593444,0.0
2030-01-14 12:00:00,1.0,9.34167138428741,0.0,0.0,0.0,9.34167138428741,0.0
2030-01-14 13:00:00,1.0,9.104942528465743,0.0,0.0,0.0,9.104942528465743,0.0
2030-01-14 14:00:00,1.0,6.875821411751387,0.0,0.0,0.0,6.875821411751387,0.0
2030-01-14 15:00:00,1.0,13.677977749227388,0.0,0.0,0.0,13.677977749227388,0.0
2030-01-14 16:00:00,1.0,11.681316692054162,0.0,0.0,0.0,11.681316692054162,0.0
2030-01-14 17:00:00,1.0,13.889372759591115,0.0,0.0,0.0,13.889372759591115,0.0
2030-01-14 18:00:00,1.0,11.088485543706067,0.0,0.0,0.0,11.088485543706067,0.0
2030-01-14 19:00:00,1.0,11.779016306184905,0.0,0.0,0.0,11.779016306184905,0.0
2030-01-14 20:00:00,1.0,8.312447899744392,0.0,0.0,0.0,8.312447899744392,0.0
2030-01-14 21:00:00,1.0,9.108519684916343,0.0,0.0,0.0,9.108519684916343,0.0
2030-01-14 22:00:00,1.0,7.889684636392058,0.0,0.0,0.0,7.889684636392058,0.0
2030-01-14 23:00:00,1.0,12.88591497381285,0.0,0.0,0.0,12.88591497381285,0.0
2030-01-15 00:00:00,1.0,16.416841415606612,0.0,0.0,0.0,16.416841415606612,0.0
2030-01-15 01:00:00,1.0,17.296285337493277,0.0,0.0,0.0,17.296285337493277,0.0
2030-01-15 02:00:00,1.0,17.43458153529917,0.0,0.0,0.0,17.43458153529917,0.0
2030-01-15 03:00:00,1.0,19.362715399585948,0.0,0.0,0.0,19.362715399585948,0.0
2030-01-15 04:00:00,1.0,19.86286179143165,0.0,0.0,0.0,19.86286179143165,0.0
2030-01-15 05:00:00,1.0,18.833927098677268,0.0,0.0,0.0,18.833927098677268,0.0
