trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode,site_pair,selection_score
8be7841c444c4a9490529369,WP2033,north-west,5041-17010-2,5041-17010-2,2,Binbane;Letterkenny,0.500000;0.500000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.0900358874,1571.6313626196134,2088.958910183133,1186.7116260848052,3.548945947447954,1.4670238954242965,1.4670238954242965,146.70238954242964,0.0,69.0,69.0,100.0,67.08258758596799,3358.1995975685572,3022.3796378117013,6380.579235380259,3.5447662418779218,4.430957802347402,0,0.0,10.0,35.384972376586965,90.0,True,True,True,False,True,benchmark,Binbane + Letterkenny,0.7
27e9902f37a1d649f1530b6e,WP2033,north-west,5041-17010-2,5041-17010-2,2,Croaghonagh;Binbane,0.500000;0.500000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.0900358893,1571.6313626196131,2088.9589101831334,1101.4015955735376,3.548945947447955,1.3615628461445268,1.3615628461445268,136.1562846144527,0.0,66.0,66.0,100.0,66.90300145279326,3358.1995975685572,3022.3796378117013,6380.579235380259,3.5447662418779218,4.430957802347402,0,0.0,10.0,34.34727293037221,90.0,True,True,True,False,True,benchmark,Croaghonagh + Binbane,0.7
5ea80944bee9a60975cd48ae,WP2033,north-west,5041-17010-2,5041-17010-2,2,Croaghonagh;Letterkenny,0.500000;0.500000,health_aware,10.0,90.0,90.0,100.0,120.0,900.0,720.0,7.5,6.0,True,,-4164090.0900358874,1571.6313626196134,2088.958910183133,897.5115615311151,3.548945947447954,1.1095120990174132,1.1095120990174132,110.95120990174132,0.0,68.0,68.0,100.0,67.14226901617178,3358.199597568557,3022.3796378117013,6380.579235380258,3.5447662418779213,4.430957802347401,0,0.0,10.0,37.1118746554661,90.0,True,True,True,False,True,benchmark,Croaghonagh + Letterkenny,0.7
