trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,average_absolute_power_mw,average_power_utilisation_pct,active_hours,idle_hours,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode
031afa4404bc64380895935a,WP2033,north-west,5041-17010-2,5041-17010-2,1,Ardnagappary,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448883,2739.6509508055983,920.939321997148,612.3154226051774,1.564589834062709,0.756949992528706,0.756949992528706,75.6949992528706,0.0,63.0,63.0,100.0,64.5279982161229,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,67,101,10.0,31.727832020151958,90.0,True,True,False,False,False,benchmark
08371387b25b82cda5fa702f,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,120.0,360.0,360.0,3.0,3.0,True,,-4102925.8741273633,2417.595625452288,1242.9946473504583,774.4910842746685,2.1117317314906785,0.9574330464533732,0.9574330464533732,95.74330464533732,0.0,65.0,65.0,100.0,65.37779070084854,2130.3349572197267,2130.3349572197267,4260.669914439453,5.91759710338813,5.91759710338813,0,0.0,25.361130443091984,21.13427536924332,68,100,0.0,28.5377748731322,100.0,True,True,False,False,False,benchmark
0afb5e720f76956a2eafdecd,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,190.0,2280.0,1824.0,12.0,9.6,True,,-4312929.19028751,289.97992219240876,3370.6103506103377,2240.913769682971,5.726351957385319,2.7702383421963095,2.7702383421963095,277.02383421963094,0.0,73.0,73.0,100.0,71.09215071306839,5365.941869098438,4829.347682188593,10195.289551287031,2.235809112124349,2.7947613901554362,0,0.0,60.68624732908947,31.94013017320498,101,67,10.0,39.81264073462341,90.0,True,True,True,False,True,benchmark
0c14abf5535d08acefc56216,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,80.0,240.0,192.0,3.0,2.4,True,,-4034290.847793119,2890.43831469996,770.1519581027865,755.9602381652148,1.3084161958879204,0.9345250429861044,0.9345250429861044,93.45250429861044,0.0,61.0,61.0,100.0,64.22868746218447,1378.5389332369605,1240.6850399132645,2619.223973150225,5.456716610729635,6.820895763412044,0,0.0,15.590618887798959,19.4882736097487,60,108,10.0,31.307406702168,90.0,True,True,False,False,False,benchmark
0f35b973c2b00160109e3298,WP2033,north-west,5041-17010-2,5041-17010-2,1,Letterkenny,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.830944888,2739.650950805598,920.9393219971485,452.5271942566869,1.5645898340627096,0.5594183057716421,0.5594183057716421,55.94183057716421,0.0,65.0,65.0,100.0,64.5279982161229,1596.5548054003189,1436.8993248602867,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,68,100,10.0,31.010117690804723,90.0,True,True,False,False,False,benchmark
0fd174ad12aac6038bf2db1b,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,80.0,80.0,80.0,1.0,1.0,True,,-3990282.226058821,3290.014661626268,370.5756111764781,585.0869282921303,0.6295733281764336,0.723289875853646,0.6295733281764336,62.95733281764336,0.0,59.0,59.0,100.0,63.325930062786725,714.864948883855,714.864948883855,1429.72989776771,8.935811861048188,8.935811861048188,0,0.0,8.510297010522084,10.637871263152606,46,122,0.0,25.807483846070372,100.0,True,True,False,False,False,benchmark
12359f8030555e3049c3b04d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,190.0,725.0,580.0,3.8157894736842106,3.0526315789473686,True,,-4141240.982655476,1678.0466343303035,1982.5436384724428,1548.878474437508,3.3681563467319124,1.9147379052859932,1.9147379052859932,191.47379052859932,0.0,68.0,68.0,100.0,66.6513937702013,3134.2074818823457,2820.7867336941104,5954.994215576457,4.106892562466522,5.133615703083152,0,0.0,35.446394140336054,18.655996915966345,72,96,10.0,36.740370791430394,90.0,True,True,True,False,True,benchmark
1245754421d162ded0102ef4,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,120.0,1440.0,1152.0,12.0,9.6,True,,-4222070.793789535,1116.2633795553668,2544.3268932473793,1751.996062433347,4.322573590488443,2.165833747461175,2.165833747461175,216.5833747461175,0.0,72.0,72.0,100.0,68.86959121301459,4199.244285259687,3779.319856733718,7978.564141993405,2.770334771525488,3.46291846440686,0,0.0,47.49145322615122,39.57621102179269,104,64,10.0,36.94227193711096,90.0,True,True,True,False,True,benchmark
136bd6239c78225f4ee4afee,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,100.0,300.0,300.0,3.0,3.0,True,,-4081845.8907229844,2597.5956254522885,1062.9946473504579,729.071054232074,1.8059285548812205,0.9012843849430713,0.9012843849430713,90.12843849430713,0.0,64.0,64.0,100.0,65.11489747123989,1830.3349572197267,1830.3349572197267,3660.6699144394534,6.101116524065755,6.101116524065755,0,0.0,21.789701871663414,21.789701871663414,65,103,0.0,26.99804509399312,100.0,True,True,False,False,False,benchmark
196e4dff2c11c3574cf90b5e,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,150.0,300.0,240.0,2.0,1.6,True,,-4053201.268200925,2738.6489870118776,921.9412857908687,1045.73383816742,1.566292076901417,1.2927458492226296,1.2927458492226296,129.27458492226296,0.0,67.0,67.0,100.0,64.54511960169188,1631.5211460504308,1468.3690314453875,3099.8901774958185,5.166483629159697,6.458104536449622,0,0.0,18.45172724699892,12.30115149799928,58,110,10.0,28.766450306482117,90.0,True,True,True,False,True,benchmark
1eabfc8b7507ad541c9195c1,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,theoretical,0.0,100.0,100.0,100.0,80.0,960.0,960.0,12.0,12.0,True,,-4185032.40993989,1652.3333799257925,2008.2568928769538,1678.0148606686125,3.4118407627200598,2.074377501128491,2.074377501128491,207.43775011284907,0.0,69.0,69.0,100.0,67.71154617910331,3149.8647596005994,3149.8647596005994,6299.729519201199,3.2811091245839576,3.2811091245839576,0,0.0,37.49838999524523,46.872987494056545,103,65,0.0,35.56483961887549,100.0,True,True,True,False,True,benchmark
226bafd3f9fa7840f14a80c1,WP2033,north-west,5041-17010-2,5041-17010-2,1,Cathaleen's Fall,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448883,2739.650950805598,920.9393219971485,325.4353639144538,1.5645898340627096,0.4023062088417493,0.4023062088417493,40.230620884174925,0.0,65.0,65.0,100.0,64.5279982161229,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,70,98,10.0,31.462776049116677,90.0,True,True,False,False,False,benchmark
