trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,average_absolute_power_mw,average_power_utilisation_pct,active_hours,idle_hours,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode,renewable_capacity_mw,peak_load_mw,is_target_endpoint,site
b9fa36f6009f4425dabd57b7,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448906,2739.650950805598,920.9393219971485,1007.1890566124712,1.5645898340627096,1.2450964335245833,1.2450964335245833,124.50964335245833,0.0,64.0,64.0,100.0,64.37395549334668,1596.5548054003189,1436.8993248602867,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,68,100,10.0,30.95999001651473,90.0,True,True,True,False,True,benchmark,139.2,0.0,False,Croaghonagh
a786829e95386ae66b43b4b7,WP2033,north-west,5041-17010-2,5041-17010-2,1,Binbane,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.830944889,2739.6509508055983,920.939321997148,777.8368487524203,1.564589834062709,0.9615691114665029,0.9615691114665029,96.15691114665029,0.0,62.0,62.0,100.0,64.38189305396108,1596.5548054003186,1436.8993248602867,3033.4541302606053,5.055756883767676,6.319696104709594,0,0.0,18.056274584884555,24.075032779846072,66,102,10.0,32.642990776460415,90.0,True,True,False,False,False,benchmark,89.3,21.02,False,Binbane
031afa4404bc64380895935a,WP2033,north-west,5041-17010-2,5041-17010-2,1,Ardnagappary,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448883,2739.6509508055983,920.939321997148,612.3154226051774,1.564589834062709,0.756949992528706,0.756949992528706,75.6949992528706,0.0,63.0,63.0,100.0,64.5279982161229,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,67,101,10.0,31.727832020151958,90.0,True,True,False,False,False,benchmark,22.94,10.86,False,Ardnagappary
96525860074c0a81e93c085d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Drumkeen,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448888,2739.650950805598,920.9393219971485,452.5271942566869,1.5645898340627096,0.5594183057716421,0.5594183057716421,55.94183057716421,0.0,65.0,65.0,100.0,64.5279982161229,1596.5548054003189,1436.8993248602867,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.056274584884555,24.075032779846072,68,100,10.0,31.01305389836964,90.0,True,True,False,False,False,benchmark,84.96,0.0,False,Drumkeen
0f35b973c2b00160109e3298,WP2033,north-west,5041-17010-2,5041-17010-2,1,Letterkenny,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.830944888,2739.650950805598,920.9393219971485,452.5271942566869,1.5645898340627096,0.5594183057716421,0.5594183057716421,55.94183057716421,0.0,65.0,65.0,100.0,64.5279982161229,1596.5548054003189,1436.8993248602867,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,68,100,10.0,31.010117690804723,90.0,True,True,False,False,False,benchmark,90.77000000000001,74.24,False,Letterkenny
6b2d27ebaf994ce2e647c426,WP2033,north-west,5041-17010-2,5041-17010-2,1,Tievebrack,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448874,2739.6509508055983,920.939321997148,405.50940707015616,1.564589834062709,0.5012944820924379,0.5012944820924379,50.12944820924379,0.0,65.0,65.0,100.0,64.5279982161229,1596.5548054003186,1436.8993248602867,3033.4541302606053,5.055756883767676,6.319696104709594,0,0.0,18.05627458488456,24.07503277984608,69,99,10.0,31.126014713945064,90.0,True,True,False,False,False,benchmark,29.9,0.0,False,Tievebrack
270836861fd7d178c09cd84d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Trillick,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050379.1027496695,2739.6509508055974,920.9393219971489,371.03669084705325,1.5645898340627105,0.45867899124541495,0.45867899124541495,45.867899124541495,0.0,61.0,61.0,100.0,64.44530397391975,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.056274584884555,24.075032779846072,67,101,10.0,31.742388103850676,90.0,True,True,False,False,False,benchmark,44.69,22.55,False,Trillick
4d0253c07954609d2470ad4e,WP2033,north-west,5041-17010-2,5041-17010-2,1,Sorne Hill,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050379.102749671,2739.650950805598,920.9393219971485,338.01043368136015,1.5645898340627096,0.41785162647243573,0.41785162647243573,41.785162647243574,0.0,63.0,63.0,100.0,64.42581138931294,1596.5548054003189,1436.8993248602865,3033.4541302606053,5.055756883767676,6.319696104709594,0,0.0,18.056274584884555,24.075032779846072,67,101,10.0,33.12428540716761,90.0,True,True,False,False,False,benchmark,63.24999999999999,0.0,False,Sorne Hill
226bafd3f9fa7840f14a80c1,WP2033,north-west,5041-17010-2,5041-17010-2,1,Cathaleen's Fall,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.8309448883,2739.650950805598,920.9393219971485,325.4353639144538,1.5645898340627096,0.4023062088417493,0.4023062088417493,40.230620884174925,0.0,65.0,65.0,100.0,64.5279982161229,1596.5548054003189,1436.899324860287,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,70,98,10.0,31.462776049116677,90.0,True,True,False,False,False,benchmark,55.0,19.14,True,Cathaleen's Fall
9df2c2e78a651179d0b83523,WP2033,north-west,5041-17010-2,5041-17010-2,1,Sligo,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-3966726.4902608134,3310.179745021138,350.4105277816084,267.9089613449396,0.5953147361834016,0.3311915375667212,0.3311915375667212,33.11915375667212,0.0,65.0,65.0,100.0,62.676000137409616,357.95106937104197,322.15596243393776,680.1070318049797,1.1335117196749662,1.4168896495937076,0,0.0,4.048256141696307,5.397674855595077,21,147,10.0,17.46911348162737,64.74122082069698,True,True,False,False,False,benchmark,52.529999999999994,60.88,False,Sligo
e45a4b3277fd763ea2543c5d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Glenree,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-3966726.4902608134,3310.179745021138,350.4105277816084,267.9089613449396,0.5953147361834016,0.3311915375667212,0.3311915375667212,33.11915375667212,0.0,65.0,65.0,100.0,62.676000137409616,357.951069371042,322.15596243393776,680.1070318049798,1.1335117196749662,1.4168896495937078,0,0.0,4.048256141696308,5.397674855595078,21,147,10.0,17.46911348162737,64.74122082069698,True,True,False,False,False,benchmark,77.3,0.0,False,Glenree
683a75fcc6a5c1197fd512d6,WP2033,north-west,5041-17010-2,5041-17010-2,1,Srananagh 220,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-3966726.490260814,3310.179745021138,350.4105277816084,255.37208401395037,0.5953147361834016,0.3156933337787943,0.3156933337787943,31.56933337787943,0.0,65.0,65.0,100.0,62.676000137409616,357.9510693710419,322.1559624339377,680.1070318049797,1.1335117196749662,1.4168896495937076,0,0.0,4.048256141696307,5.397674855595077,21,147,10.0,14.590189058810909,64.74122082069698,True,True,False,False,False,benchmark,0.0,0.0,True,Srananagh 220
72731442cc32745d9d551da4,WP2033,north-west,5041-17010-2,5041-17010-2,1,Corderry,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-3966726.490260814,3310.179745021138,350.4105277816084,-113.31854473410203,0.5953147361834016,-0.14008543378655228,-0.14008543378655228,-14.008543378655228,0.0,65.0,65.0,100.0,62.676000137409616,357.95106937104185,322.15596243393765,680.1070318049794,1.1335117196749658,1.4168896495937071,0,0.0,4.0482561416963065,5.397674855595075,21,147,10.0,14.177068097913567,64.74122082069698,True,True,False,False,False,benchmark,161.603,0.0,False,Corderry
bec6efe5f4f898d0c1a05626,WP2033,north-west,5041-17010-2,5041-17010-2,1,Clogher,1.000000,health_aware,10.0,90.0,90.0,100.0,75.0,300.0,240.0,4.0,3.2,True,,-4050427.830944889,2739.650950805598,920.9393219971485,-237.92456719928305,1.5645898340627096,-0.29412455201217413,-0.29412455201217413,-29.412455201217412,0.0,62.0,62.0,100.0,64.60347163667903,1596.5548054003189,1436.8993248602867,3033.454130260606,5.0557568837676765,6.319696104709595,0,0.0,18.05627458488456,24.07503277984608,67,101,10.0,31.888012786289693,90.0,True,True,False,False,False,benchmark,98.25,0.0,False,Clogher
