snapshot,duration_h,project_wind_mw,battery_charge_mw,battery_discharge_mw,battery_soc_mwh,pcc_export_mw,pcc_import_mw
2030-01-14 06:00:00,1.0,19.981324008057257,-0.0,25.0,52.09042583566492,44.98132400805726,0.0
2030-01-14 07:00:00,1.0,27.512656875558143,-0.0,22.154485056743802,28.73754811317321,49.667141932301945,0.0
2030-01-14 08:00:00,1.0,28.407435529701026,-0.0,9.381335097344227,18.848752646211477,37.78877062704525,0.0
2030-01-14 09:00:00,1.0,34.641527796334984,25.0,-0.0,42.56583509747432,9.641527796334984,0.0
2030-01-14 10:00:00,1.0,32.18048261503424,25.0,-0.0,66.28291754873716,7.1804826150342365,0.0
2030-01-14 11:00:00,1.0,36.75170350318689,25.0,-0.0,90.0,11.751703503186889,0.0
2030-01-14 12:00:00,1.0,18.68334276857482,-0.0,5.179601175886222,84.54022097097105,23.862943944461044,0.0
2030-01-14 13:00:00,1.0,18.209885056931487,-0.0,25.0,58.18790713623456,43.20988505693148,0.0
2030-01-14 14:00:00,1.0,13.751642823502774,-0.0,25.0,31.83559330149806,38.75164282350278,0.0
2030-01-14 15:00:00,1.0,27.355955498454776,25.0,-0.0,55.552675752760905,2.355955498454776,0.0
2030-01-14 16:00:00,1.0,23.362633384108324,11.31066797320692,-0.0,66.28291754873716,12.051965410901404,0.0
2030-01-14 17:00:00,1.0,27.77874551918223,25.0,-0.0,90.0,2.7787455191822303,0.0
2030-01-14 18:00:00,1.0,22.176971087412134,-0.0,25.000000000000284,63.64768616526321,47.17697108741242,0.0
2030-01-14 19:00:00,1.0,23.55803261236981,-0.0,0.8946638440408277,62.704627669472984,24.45269645641064,0.0
2030-01-14 20:00:00,1.0,16.624895799488783,-0.0,25.0,36.35231383473649,41.62489579948878,0.0
2030-01-14 21:00:00,1.0,18.217039369832687,-0.0,25.0,10.0,43.21703936983269,0.0
2030-01-14 22:00:00,1.0,15.779369272784116,-0.0,-0.0,10.0,15.779369272784116,0.0
2030-01-14 23:00:00,1.0,25.7718299476257,-0.0,-0.0,10.0,25.7718299476257,0.0
2030-01-15 00:00:00,1.0,32.833682831213224,-0.0,-0.0,10.0,32.833682831213224,0.0
2030-01-15 01:00:00,1.0,34.592570674986554,-0.0,-0.0,10.0,34.592570674986554,0.0
2030-01-15 02:00:00,1.0,34.86916307059834,-0.0,-0.0,10.0,34.86916307059834,0.0
2030-01-15 03:00:00,1.0,38.725430799171896,22.144982220143497,-0.0,31.00857476787572,16.5804485790284,0.0
2030-01-15 04:00:00,1.0,39.7257235828633,25.0,-0.0,54.72565721913857,14.725723582863303,0.0
2030-01-15 05:00:00,1.0,37.667854197354536,25.0,-0.0,78.44273967040141,12.667854197354536,0.0
