wind_farm,nearest_substation,mapping_method,installed_capacity_mw,monitored_line,component,line_bus0,line_bus1,positive_flow_orientation,single_slack_bus,shift_factor_load_weighted,shift_factor_uniform,shift_factor_single_slack,primary_reference,primary_shift_factor,reference_range_min,reference_range_max,reference_range_width
Moy wind,Moy,official_model_generator_bus_assignment,36.0,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,0.0,0.0,,load_weighted,0.0,0.0,0.0,0.0
Corderry wind,Corderry,official_model_generator_bus_assignment,161.603,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,0.5787987642873462,0.5837103333387765,0.8171944666742862,load_weighted,0.5787987642873462,0.5787987642873462,0.8171944666742862,0.23839570238693997
Clogher wind,Clogher,official_model_generator_bus_assignment,98.25,5041-17010-2,Line,Srananagh 220,Cathaleen's Fall,Srananagh 220 to Cathaleen's Fall,Letterkenny,-0.23839570238694086,-0.23348413333551052,-8.604228440844963e-16,load_weighted,-0.23839570238694086,-0.23839570238694086,-8.604228440844963e-16,0.23839570238694
