rating_case,neutral_dispatch_down_mwh,priority_dispatch_down_mwh,priority_minus_neutral_dispatch_down_mwh,neutral_physical_cost_eur,priority_physical_cost_eur
static,3660.5902728027468,3660.590272802747,4.547473508864641e-13,-3935124.4044939755,-3935124.404493975
q3_dlr,3085.0705047731126,3085.0705047731135,9.094947017729282e-13,-4065245.28090573,-4065245.28090573
