snapshot,branch,bus0,bus1,flow_mw_bus0_to_bus1,rating_mva,loading_pu,flow_direction_sign,highest_relief_priority_generator,priority_relief_mw_per_mw,highest_relief_nonpriority_generator,nonpriority_relief_mw_per_mw,relief_advantage_priority_minus_nonpriority,dominated_dispatch_pair_possible
2030-01-14 07:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-14 08:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-14 09:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-14 10:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-14 11:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-14 15:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-14 17:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-14 23:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 00:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 01:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 02:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 03:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 05:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 06:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 07:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 08:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 09:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 10:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-15 11:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-17 02:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-17 03:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-18 16:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-18 17:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-18 23:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 04:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 06:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 07:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 08:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 09:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 10:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 11:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 12:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 13:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 16:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 17:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 18:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 19:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 20:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-19 21:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 03:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 04:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 08:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 10:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 11:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 12:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 13:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 14:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 15:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 16:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 17:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 18:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 19:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
2030-01-20 20:00:00,5041-17010-2,Srananagh 220,Cathaleen's Fall,-210.0,210.0,1.0,-1,Ardnagappary wind,0.23839570238694588,Tievebrack wind,0.238395702386943,2.886579864025407e-15,False
