scenario,snapshot,duration_h,wind_available_mw,wind_dispatched_mw,wind_dispatch_down_mw,unserved_mw,physical_generator_cost_eur
network_neutral_static,2030-01-14 06:00:00,1.0,417.8866129191483,417.8866129191483,0.0,0.0,-29320.27120209797
network_neutral_static,2030-01-14 07:00:00,1.0,575.3958541234604,575.3958541234604,0.0,0.0,-39051.872986554175
network_neutral_static,2030-01-14 08:00:00,1.0,594.1091296271929,594.1091296271929,0.0,0.0,-38625.70628488625
network_neutral_static,2030-01-14 09:00:00,1.0,724.4880625186584,682.8156953932056,41.67236712545271,0.0,-43194.135989355105
network_neutral_static,2030-01-14 10:00:00,1.0,673.01810814326,673.01810814326,0.0,0.0,-42690.602925883795
network_neutral_static,2030-01-14 11:00:00,1.0,768.6199818271599,692.6180180334395,76.00196379372046,0.0,-44096.0575504975
network_neutral_static,2030-01-14 12:00:00,1.0,390.74081499398613,390.74081499398613,0.0,0.0,-23882.485216460384
network_neutral_static,2030-01-14 13:00:00,1.0,380.83898669675716,380.83898669675716,0.0,0.0,-23090.652291728442
network_neutral_static,2030-01-14 14:00:00,1.0,287.59993278074177,287.59993278074177,0.0,0.0,-13950.388709122253
network_neutral_static,2030-01-14 15:00:00,1.0,572.1186234609132,572.1186234609132,0.0,0.0,-37778.99575682976
network_neutral_static,2030-01-14 16:00:00,1.0,488.6028438265678,488.6028438265678,0.0,0.0,-32723.04375701801
network_neutral_static,2030-01-14 17:00:00,1.0,580.9607947638043,580.9607947638043,0.0,0.0,-39355.204282301005
network_neutral_static,2030-01-14 18:00:00,1.0,463.80606854618514,463.80606854618514,0.0,0.0,-29221.677567133203
network_neutral_static,2030-01-14 19:00:00,1.0,492.68939593053653,492.68939593053653,0.0,0.0,-32856.066434417546
network_neutral_static,2030-01-14 20:00:00,1.0,347.6907432650965,347.6907432650965,0.0,0.0,-19297.341410139197
network_neutral_static,2030-01-14 21:00:00,1.0,380.98861099516904,380.98861099516904,0.0,0.0,-23494.202817812646
network_neutral_static,2030-01-14 22:00:00,1.0,330.00751985930884,330.00751985930884,0.0,0.0,-19238.555737680075
network_neutral_static,2030-01-14 23:00:00,1.0,538.9884434684514,538.9884434684514,0.0,0.0,-39059.590869273736
network_neutral_static,2030-01-15 00:00:00,1.0,686.679046016397,642.6021373605729,44.07690865582411,0.0,-42389.18190310755
network_neutral_static,2030-01-15 01:00:00,1.0,723.4641801367743,642.1191910571523,81.344989079622,0.0,-42822.37436399437
network_neutral_static,2030-01-15 02:00:00,1.0,729.2487947756636,656.3357011196789,72.91309365598471,0.0,-44463.661576780156
network_neutral_static,2030-01-15 03:00:00,1.0,809.8982381735692,681.0135256111208,128.88471256244847,0.0,-46872.378137818094
network_neutral_static,2030-01-15 04:00:00,1.0,830.8182214107015,686.2672406348764,144.55098077582505,0.0,-47341.22985235007
network_neutral_static,2030-01-15 05:00:00,1.0,787.7802291838851,680.8518912621927,106.92833792169243,0.0,-46546.08309697768
network_priority_static,2030-01-14 06:00:00,1.0,417.8866129191483,417.8866129191483,0.0,0.0,-29320.27120209797
network_priority_static,2030-01-14 07:00:00,1.0,575.3958541234604,575.3958541234604,0.0,0.0,-39051.872986554175
