scenario,policy,snapshots,hours,priority_generator_count,non_priority_generator_count,wind_available_mwh,wind_dispatched_mwh,wind_dispatch_down_mwh,priority_dispatch_down_mwh,non_priority_dispatch_down_mwh,unserved_mwh,physical_generator_cost_eur,binding_branch_hours,maximum_passive_loading_pu,maximum_component_balance_error_mw,relaxed_rating_multiplier,lexicographic_stages,status_penalty_in_physical_cost,solver_status,solver_condition
network_neutral_static,neutral,24,24.0,4,10,13576.439237443388,12880.06588387282,696.37335357057,334.8823174285611,361.4910361420088,0.0,-841361.760720219,13,1.0,1.7053025658242404e-13,,"[{'stage': 'unserved-energy', 'sense': 'min', 'optimum_mwh': 0.0, 'fix_tolerance_mwh': 1e-05}, {'stage': 'total-wind-energy', 'sense': 'max', 'optimum_mwh': 12880.06588387282, 'fix_tolerance_mwh': 1e-05}]",False,ok,optimal
network_priority_static,priority,24,24.0,4,10,13576.439237443388,12880.06588387282,696.3733535705699,1.0000000230547812e-05,696.3733435705697,0.0,-841361.760720219,14,1.0,1.1368683772161603e-13,,"[{'stage': 'unserved-energy', 'sense': 'min', 'optimum_mwh': 0.0, 'fix_tolerance_mwh': 1e-05}, {'stage': 'priority-wind-energy', 'sense': 'max', 'optimum_mwh': 4586.421155561913, 'fix_tolerance_mwh': 1e-05}, {'stage': 'total-wind-energy', 'sense': 'max', 'optimum_mwh': 12880.06588387282, 'fix_tolerance_mwh': 1e-05}]",False,ok,optimal
copperplate_neutral,neutral,24,24.0,4,10,13576.439237443388,13048.760765170606,527.6784722727834,0.0,527.6784722727834,0.0,-877423.6911454427,0,0.001541535361145258,1.7053025658242404e-13,1000.0,"[{'stage': 'unserved-energy', 'sense': 'min', 'optimum_mwh': 0.0, 'fix_tolerance_mwh': 1e-05}, {'stage': 'total-wind-energy', 'sense': 'max', 'optimum_mwh': 13048.760765170606, 'fix_tolerance_mwh': 1e-05}]",False,ok,optimal
copperplate_priority,priority,24,24.0,4,10,13576.439237443388,13048.760765170606,527.6784722727833,1.0000000131071829e-05,527.6784622727833,0.0,-877423.6911454427,0,0.001541535361145258,1.7053025658242404e-13,1000.0,"[{'stage': 'unserved-energy', 'sense': 'min', 'optimum_mwh': 0.0, 'fix_tolerance_mwh': 1e-05}, {'stage': 'priority-wind-energy', 'sense': 'max', 'optimum_mwh': 4586.421155561913, 'fix_tolerance_mwh': 1e-05}, {'stage': 'total-wind-energy', 'sense': 'max', 'optimum_mwh': 13048.760765170606, 'fix_tolerance_mwh': 1e-05}]",False,ok,optimal
status_swapped,priority,24,24.0,10,4,13576.439237443388,12880.065883872818,696.3733535705701,9.999998042076186e-06,696.373343570572,0.0,-841361.760720219,13,1.0,1.1368683772161603e-13,,"[{'stage': 'unserved-energy', 'sense': 'min', 'optimum_mwh': 0.0, 'fix_tolerance_mwh': 1e-05}, {'stage': 'priority-wind-energy', 'sense': 'max', 'optimum_mwh': 8990.018081881475, 'fix_tolerance_mwh': 1e-05}, {'stage': 'total-wind-energy', 'sense': 'max', 'optimum_mwh': 12880.06588387282, 'fix_tolerance_mwh': 1e-05}]",False,ok,optimal
network_neutral_dlr,neutral,24,24.0,4,10,13576.439237443388,13048.760765170606,527.6784722727838,328.32402026014,199.35445201264375,0.0,-873249.2104241045,4,1.0,1.1368683772161603e-13,,"[{'stage': 'unserved-energy', 'sense': 'min', 'optimum_mwh': 0.0, 'fix_tolerance_mwh': 1e-05}, {'stage': 'total-wind-energy', 'sense': 'max', 'optimum_mwh': 13048.760765170606, 'fix_tolerance_mwh': 1e-05}]",False,ok,optimal
network_priority_dlr,priority,24,24.0,4,10,13576.439237443388,13048.760765170606,527.6784722727839,1.0000000173704393e-05,527.6784622727837,0.0,-873249.2104241045,5,1.0,1.7053025658242404e-13,,"[{'stage': 'unserved-energy', 'sense': 'min', 'optimum_mwh': 0.0, 'fix_tolerance_mwh': 1e-05}, {'stage': 'priority-wind-energy', 'sense': 'max', 'optimum_mwh': 4586.421155561913, 'fix_tolerance_mwh': 1e-05}, {'stage': 'total-wind-energy', 'sense': 'max', 'optimum_mwh': 13048.760765170606, 'fix_tolerance_mwh': 1e-05}]",False,ok,optimal
