snapshot,flow_abs_mw__5041-17010-2,static_rating_mva__5041-17010-2,s_max_pu__5041-17010-2,dynamic_rating_mva__5041-17010-2,dynamic_loading_pct__5041-17010-2,target_aggregate_abs_flow_mw,target_aggregate_dynamic_rating_mva,target_max_dynamic_loading_pct,battery_charge_mw,battery_discharge_mw,battery_net_discharge_mw,battery_model_soc_mwh,battery_physical_soc_pct,battery_hourly_throughput_mw
2030-01-14 06:00:00,176.29856065319498,210.0,1.093550522245313,229.64560967151573,76.76983718755687,176.29856065319498,229.64560967151573,76.76983718755687,0.0,0.0,0.0,0.0,10.0,0.0
2030-01-14 07:00:00,241.78502419203042,210.0,1.1513572580572877,241.78502419203042,100.0,241.78502419203042,241.78502419203042,100.0,41.23755775884385,0.0,-41.23755775884385,39.12138229820854,17.409352707994042,41.23755775884385
2030-01-14 08:00:00,242.44846616534753,210.0,1.1545165055492739,242.44846616534753,100.0,242.44846616534753,242.44846616534753,100.0,52.304075826746725,0.0,-52.304075826746725,88.74138545501077,26.807080578600527,52.304075826746725
2030-01-14 09:00:00,233.3477625474508,210.0,1.211938241136088,254.50703063857847,91.6861754121144,233.3477625474508,254.50703063857847,91.6861754121144,87.79254766739533,0.0,-87.79254766739533,172.0287091203723,42.581194909161425,87.79254766739533
2030-01-14 10:00:00,237.95960398284595,210.0,1.1913537109148802,250.18427929212484,95.1137316285949,237.95960398284595,250.18427929212484,95.1137316285949,90.33056758861295,0.0,-90.33056758861295,257.7238098951125,58.81132763165009,90.33056758861295
2030-01-14 11:00:00,229.0679932002827,210.0,1.2295793022445864,258.21165347136315,88.7132668571395,229.0679932002827,258.21165347136315,88.7132668571395,135.0,0.0,-135.0,385.79605513193184,83.067434684078,135.0
2030-01-14 12:00:00,176.12404780176848,210.0,1.0750020139643754,225.75042293251883,78.01715076051723,176.12404780176848,225.75042293251883,78.01715076051723,0.0,0.0,0.0,385.79605513193184,83.067434684078,0.0
2030-01-14 13:00:00,225.41071448472013,210.0,1.0733843546891435,225.41071448472013,100.0,225.41071448472013,225.41071448472013,100.0,0.0,70.3869843650474,70.3869843650474,311.60165905719504,69.01546573052937,70.3869843650474
2030-01-14 14:00:00,187.53458110231202,210.0,1.034952130857628,217.33994748010187,86.28629171794631,187.53458110231202,217.33994748010187,86.28629171794631,0.0,93.5148099503098,93.5148099503098,213.02839425694293,50.34628679108768,93.5148099503098
2030-01-14 15:00:00,242.23154105265087,210.0,1.153483528822147,242.23154105265087,100.0,242.23154105265087,242.23154105265087,100.0,37.9668301057697,0.0,-37.9668301057697,249.04689185820808,57.16797194284244,37.9668301057697
2030-01-14 16:00:00,235.52985599207463,210.0,1.121570742819403,235.52985599207463,100.0,235.52985599207463,235.52985599207463,100.0,0.0,43.29282304418018,43.29282304418018,203.41224947213016,48.5250472485095,43.29282304418018
2030-01-14 17:00:00,243.68765057744108,210.0,1.1604173837021003,243.68765057744108,100.0,243.68765057744108,243.68765057744108,100.0,0.0,6.257374341676609,6.257374341676609,196.81639777479853,47.27583291189366,6.257374341676609
2030-01-14 18:00:00,160.5016125281177,210.0,1.1109641072235326,233.30246251694183,68.79550725550635,160.5016125281177,233.30246251694183,68.79550725550635,0.0,0.0,0.0,196.81639777479853,47.27583291189366,0.0
2030-01-14 19:00:00,235.27576151850968,210.0,1.1203607691357604,235.27576151850968,100.0,235.27576151850968,235.27576151850968,100.0,0.0,59.9573494986019,59.9573494986019,133.615802147353,35.306023133968374,59.9573494986019
2030-01-14 20:00:00,104.54862518026941,210.0,1.0613607926578135,222.88576645814084,46.90681995608913,104.54862518026941,222.88576645814084,46.90681995608913,0.0,0.0,0.0,133.615802147353,35.306023133968374,0.0
2030-01-14 21:00:00,145.24909329451435,210.0,1.071948090259262,225.10909895444502,64.52386596949961,145.24909329451435,225.10909895444502,64.52386596949961,0.0,0.0,0.0,133.615802147353,35.306023133968374,0.0
