scenario_label,scenario,scope,target_label,target_lines,dlr_mode,nominal_max_uplift_pct,dlr_line_count,dlr_lines,mean_dlr_multiplier,max_dlr_multiplier,dlr_added_capacity_mva_hours,total_dispatch_down_mwh,wind_dispatch_down_mwh,solar_dispatch_down_mwh,wind_dispatch_down_saved_mwh,total_dispatch_down_saved_mwh,wind_constraint_component_mwh,wind_constraint_saved_mwh,wind_constraint_reduction_pct,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_dynamic_loading_pct,target_mean_max_dynamic_loading_pct,target_max_static_equivalent_loading_pct,target_mean_dlr_multiplier,target_max_dlr_multiplier,battery_power_mw,battery_nameplate_energy_mwh,battery_usable_energy_mwh,battery_charge_mwh,battery_discharge_mwh,battery_throughput_mwh,battery_efc_week,battery_max_daily_efc,unserved_ok,target_recovery_ok,target_headroom_ok,battery_cycle_ok,combined_success
wind_proxy_DLR_0.10,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy,10.0,1,5041-17010-2,1.0238878720965467,1.0698753169298607,842.764127566169,3425.399354873046,3425.399354873046,0.0,235.19091792970084,235.19091792970084,353.42298070837296,235.19091792970084,39.95673878477592,0.39956738784775886,39.95673878477589,0.0,46.0,46.0,100.0,60.89643132489124,105.73948255611465,1.0238878720965467,1.0698753169298607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
constant_uplift_benchmark_0.10,WP2033,north-west,5041-17010-2,5041-17010-2,constant_uplift_benchmark,10.0,1,5041-17010-2,1.0999999999999996,1.1,3528.0000000000036,3232.775932755461,3232.775932755461,0.0,427.8143400472859,427.8143400472859,160.7995585907879,427.8143400472859,72.68165788085474,0.7268165788085468,72.68165788085467,0.0,39.0,39.0,100.0,58.696755515103696,110.00000000000001,1.0999999999999996,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
wind_proxy_DLR_0.20,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy,20.0,1,5041-17010-2,1.0477757441930935,1.1397506338597214,1685.5282551323382,3248.284293567082,3248.2842935670824,0.0,412.3059792356644,412.30597923566484,176.30791940240942,412.3059792356644,70.04693232518837,0.700469323251883,70.04693232518831,0.0,40.0,40.0,100.0,59.92594318800861,110.69182360911023,1.0477757441930935,1.1397506338597214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
constant_uplift_benchmark_0.20,WP2033,north-west,5041-17010-2,5041-17010-2,constant_uplift_benchmark,20.0,1,5041-17010-2,1.1999999999999997,1.2,7055.999999999999,3076.81892558412,3076.81892558412,0.0,583.7713472186269,583.7713472186269,4.842551419446863,583.7713472186269,99.17729577391029,0.9917729577391021,99.17729577391022,0.0,19.0,19.0,100.0,55.29793626175672,120.0,1.1999999999999997,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False
wind_proxy_DLR_0.30,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy,30.0,1,5041-17010-2,1.0716636162896402,1.2096259507895821,2528.292382698507,3136.4417606854613,3136.4417606854618,0.0,524.148512117285,524.1485121172855,64.4653865207888,524.148512117285,89.04793334477017,0.890479333447701,89.0479333447701,0.0,35.0,35.0,100.0,58.87976813279826,116.03773541366533,1.0716636162896402,1.2096259507895821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
constant_uplift_benchmark_0.30,WP2033,north-west,5041-17010-2,5041-17010-2,constant_uplift_benchmark,30.0,1,5041-17010-2,1.3000000000000003,1.3,10584.000000000002,3071.9763741646725,3071.976374164673,0.0,588.6138986380738,588.6138986380743,0.0,588.6138986380738,100.0,0.9999999999999992,99.99999999999993,0.0,13.0,13.0,100.0,51.793708786796785,130.0,1.3000000000000003,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False
wind_proxy_DLR_0.40,WP2033,north-west,5041-17010-2,5041-17010-2,wind_proxy,40.0,1,5041-17010-2,1.095551488386187,1.2795012677194428,3371.056510264676,3085.0705047731135,3085.0705047731135,0.0,575.5197680296333,575.5197680296333,13.094130608440537,575.5197680296333,97.77542959166652,0.9777542959166646,97.77542959166647,0.0,29.0,29.0,100.0,57.78126449074327,121.2195792084242,1.095551488386187,1.2795012677194428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
constant_uplift_benchmark_0.40,WP2033,north-west,5041-17010-2,5041-17010-2,constant_uplift_benchmark,40.0,1,5041-17010-2,1.4000000000000004,1.4,14111.999999999998,3071.976374164673,3071.976374164673,0.0,588.6138986380738,588.6138986380738,0.0,588.6138986380738,100.0,0.9999999999999992,99.99999999999993,0.0,3.0,3.0,100.0,48.42807087063144,140.0,1.4000000000000004,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,True,False
