scenario,battery_scale_vs_q2,throughput_mwh,efc_week,max_daily_efc,soc_min_pct,soc_mean_pct,soc_max_pct,wind_dispatch_down_mwh
battery_only,1.0,2979.632479238832,5.290540623648494,1.0,10.0,33.34631701953079,90.0,2700.9419492950883
selected_DLR_plus_same_full_battery,1.0,2797.5847223962664,4.967302419027462,1.0,10.0,35.02959971348929,90.0,2174.8959921847663
selected_DLR_plus_minimum_scaled_battery,1.5,4022.841692822971,4.761886473512039,1.0000000000000002,10.0,33.97550883808263,90.00000000000001,1762.4362439684007
