case_id,technology,site_count,sites,allocations,wind_mw,battery_mw,battery_mwh,lifetime_net_renewable_gain_mwh,year_1_project_revenue_eur,year_1_operating_cost_eur,lifetime_project_revenue_eur,lifetime_energy_purchase_eur,lifetime_fixed_and_variable_om_eur,lifetime_maintenance_capex_eur,initial_capex_eur,lifetime_decommission_eur,lifetime_residual_eur,lifetime_net_project_cashflow_eur,lifecycle_cost_pv_eur,lifetime_system_dispatch_cost_saving_eur,pv_system_dispatch_cost_saving_eur,system_saving_included_in_project_cashflow,npv_eur,simple_payback_years,discounted_payback_years,additional_break_even_payment_eur_kw_year
NO_BUILD,no_build,0,-,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0
wind_a70aa07f9b,wind,1,Ardnagappary,,25.0,0.0,0.0,184344.24386612192,8293017.704925792,1000012.5,24804490.59259239,0.0,3000037.5,0.0,38005000.0,1140150.0,380050.0,-16960646.907407615,41249816.864591695,12195239.093720175,10669497.853625461,False,-19548604.283757467,,,
hybrid_39b0bceac4,hybrid,1,Ardnagappary,1.000000,50.0,25.0,100.0,498766.8695881568,16053431.223607568,2238938.840544258,48030936.63996589,0.0,6715545.720764071,0.0,99880000.00000001,2996400.0000000005,998800.0000000001,-60562209.080798194,107385258.12596044,37692961.28033956,32985754.73837857,False,-65364040.3592008,,,1027.6497005431893
bess_1a00ab89cb,bess,1,Ardnagappary,1.000000,0.0,25.0,100.0,124479.60787374925,4238608.661215249,5011665.955279594,12546072.551162284,13940080.61240254,905089.8039368734,0.0,26730000.000000004,801900.0000000001,267300.00000000006,-29563697.865177132,40160005.073745586,13594539.03743268,11901668.555617252,False,-29178369.534226306,,,457.48769956054457
