npv_eur,irr,irr_status,all_irrs,simple_payback_years,discounted_payback_years,sustained_discounted_payback_years,lifecycle_cost_pv_eur,equivalent_annual_cost_eur,lcos_eur_mwh,delivered_lcoe_eur_mwh,hybrid_levelised_export_cost_eur_mwh,additional_break_even_payment_eur_kw_year,initial_capex_eur,undiscounted_lifetime_replacements_eur,year_1_net_cashflow_eur,lifetime_net_renewable_gain_mwh,lifetime_battery_discharge_mwh,lifetime_efc,battery_energy_capex_eur,battery_power_capex_eur,battery_other_bop_capex_eur,wind_capex_eur,connection_capex_eur,shared_site_capex_eur,contingency_eur,block_hours,annualisation_factor,year_1_project_wind_acceptance_ratio,year_1_added_wind_available_mwh,year_1_total_dispatch_down_change_mwh,year_1_net_renewable_gain_proxy_mwh,block_binding_branch_hours,block_unserved_mwh,new_binding_branches,year_1_passive_constraint_dd_mwh,year_1_passive_constraint_relief_mwh,bus,wind_mw,battery_mw,battery_mwh,maintenance,connection_export_mw,connection_import_mw,case_id,technology,years,assumptions_status,result_scope,pareto_within_technology
-19548604.283757467,-0.24992875453036734,unique,-0.2499287545,,,,41249816.864591695,15718311.425316487,,133.05649026596558,,,38005000.0,0.0,7293005.204925792,184344.24386612192,0.0,0.0,0.0,0.0,0.0,32500000.0,1750000.0,300000.0,3455000.0,24.0,365.0,1.0,118471.68149893987,56844.65279841523,61627.028700524716,13.0,0.0,,65528.38716894024,-3954.7554952482315,Ardnagappary,25.0,0.0,0.0,replace,,,wind_9b2f3a3485,wind,3,illustrative_not_an_irish_market_forecast,SMOKE_ONLY,True
-29178369.534226306,,no_real_irr,,,,,40160005.073745586,15303036.827135053,255.99104478068037,,,457.48769956054457,26730000.000000004,0.0,-773057.2940643448,124479.60787374925,179229.60787374695,1889.2459500662953,14000000.0,6250000.0,2000000.0,0.0,1750000.0,300000.0,2430000.0,24.0,365.0,,0.0,-49029.50255897238,42301.55230307619,13.0,0.0,,57230.76491959517,4342.866754096837,Ardnagappary,0.0,25.0,100.0,replace,,,bess_2f44561feb,bess,3,illustrative_not_an_irish_market_forecast,SMOKE_ONLY,True
-65364040.3592008,-0.3597707509991058,unique,-0.359770751,,,,107385258.12596044,40919331.47855326,,,178.88506017461103,1027.6497005431893,99880000.00000001,0.0,13814492.38306331,498766.8695881568,202891.44152814167,2138.663576612672,14000000.0,6250000.0,2000000.0,65000000.0,3250000.0,300000.0,9080000.0,24.0,365.0,1.0,236943.36299787974,61899.569668472766,167435.16209735014,16.0,0.0,,66722.90929480287,-5149.27762111087,Ardnagappary,50.0,25.0,100.0,replace,,,hybrid_b02cfea631,hybrid,3,illustrative_not_an_irish_market_forecast,SMOKE_ONLY,True
