bus,ac_component,response_zone_id,component_zone_count,component_silhouette,feature_norm,active_mode_count,clustering_basis
1491,3,C003-Z001,2,0.9199313160476971,0.007638195531292755,8,centered_event_weighted_directional_ptdf
1501,3,C003-Z001,2,0.9199313160476971,0.005674277066841271,8,centered_event_weighted_directional_ptdf
1511,3,C003-Z001,2,0.9199313160476971,0.005807062218048998,8,centered_event_weighted_directional_ptdf
1521,3,C003-Z001,2,0.9199313160476971,0.005775236252593024,8,centered_event_weighted_directional_ptdf
1522,3,C003-Z001,2,0.9199313160476971,0.010004271663945012,8,centered_event_weighted_directional_ptdf
1531,3,C003-Z001,2,0.9199313160476971,0.005677370783745169,8,centered_event_weighted_directional_ptdf
1541,3,C003-Z001,2,0.9199313160476971,0.008134924733014488,8,centered_event_weighted_directional_ptdf
1551,3,C003-Z001,2,0.9199313160476971,0.005681912608038472,8,centered_event_weighted_directional_ptdf
1561,3,C003-Z001,2,0.9199313160476971,0.0092317585444702,8,centered_event_weighted_directional_ptdf
1571,3,C003-Z001,2,0.9199313160476971,0.28402764535034297,8,centered_event_weighted_directional_ptdf
1581,3,C003-Z001,2,0.9199313160476971,0.009870460084101274,8,centered_event_weighted_directional_ptdf
1591,3,C003-Z001,2,0.9199313160476971,0.002707913805978542,8,centered_event_weighted_directional_ptdf
1601,3,C003-Z001,2,0.9199313160476971,0.005681891475244244,8,centered_event_weighted_directional_ptdf
1602,3,C003-Z001,2,0.9199313160476971,0.005727822731688962,8,centered_event_weighted_directional_ptdf
1611,3,C003-Z001,2,0.9199313160476971,0.005622625108035933,8,centered_event_weighted_directional_ptdf
1621,3,C003-Z001,2,0.9199313160476971,0.0056628148854902865,8,centered_event_weighted_directional_ptdf
1631,3,C003-Z001,2,0.9199313160476971,0.07729515130851512,8,centered_event_weighted_directional_ptdf
1641,3,C003-Z001,2,0.9199313160476971,0.008567263846938643,8,centered_event_weighted_directional_ptdf
1642,3,C003-Z001,2,0.9199313160476971,0.00717745607812192,8,centered_event_weighted_directional_ptdf
1651,3,C003-Z001,2,0.9199313160476971,0.005505255692729841,8,centered_event_weighted_directional_ptdf
