snapshot,baseline_target_loading_pct,target_relaxed_loading_pct,recommended_target_loading_pct,battery_charge_mw,battery_discharge_mw,battery_net_injection_mw,battery_model_usable_soc_mwh,battery_physical_soc_pct,baseline_dispatch_down_mw,recommended_dispatch_down_mw
2030-01-14 06:00:00,83.95169554914047,83.95169554914047,83.95169554914047,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-14 07:00:00,100.0,126.35379484528657,100.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-14 08:00:00,100.0,127.50239748571384,100.0,22.214890212209284,0.0,-22.214890212209284,21.07489531234878,18.497941658205157,0.0,0.0
2030-01-14 09:00:00,100.0,111.11798216545277,100.0,41.67236712545272,0.0,-41.67236712545272,60.60877399449506,34.43902177197381,41.67236712545264,0.0
2030-01-14 10:00:00,100.0,113.31409713468854,100.0,60.24470525480681,0.0,-60.24470525480681,117.7619196657063,57.48464502649448,0.0,0.0
2030-01-14 11:00:00,100.0,109.07999676203939,100.0,85.0,0.0,-85.0,198.39999999999998,89.99999999999999,76.00196379372062,0.0
2030-01-14 12:00:00,83.86859419131834,83.86859419131834,100.0,0.0,41.4539666868958,41.4539666868958,154.7036824068884,72.38051709955178,0.0,0.0
2030-01-14 13:00:00,79.9480287312923,79.9480287312923,100.0,0.0,51.5289094352982,51.5289094352982,100.38744268686068,50.47880753502446,0.0,0.0
2030-01-14 14:00:00,52.91180755181969,52.91180755181969,52.91180755181969,0.0,0.0,0.0,100.38744268686068,50.47880753502446,0.0,0.0
2030-01-14 15:00:00,100.0,130.12277358678512,100.0,77.40853262221314,0.0,-77.40853262221314,173.82362471215265,80.09017125490027,0.0,0.0
2030-01-14 16:00:00,95.31009550174358,95.31009550174358,98.4832827479665,0.0,8.154354304657895,8.154354304657895,165.2281805619135,76.62426635561029,0.0,0.0
2030-01-14 17:00:00,100.0,113.60674232833972,100.0,34.96616785206671,0.0,-34.96616785206671,198.39999999999998,89.99999999999999,0.0,0.0
2030-01-14 18:00:00,76.42933929910367,76.42933929910367,76.42933929910367,0.0,0.0,0.0,198.39999999999998,89.99999999999999,0.0,0.0
2030-01-14 19:00:00,88.70426060561704,88.70426060561704,88.70426060561704,0.0,0.0,0.0,198.39999999999998,89.99999999999999,0.0,0.0
2030-01-14 20:00:00,49.7850596096521,49.7850596096521,82.86197849884942,0.0,85.0,85.0,108.8021329618959,53.871827807216086,0.0,0.0
2030-01-14 21:00:00,69.1662349021497,69.1662349021497,76.25588968174054,0.0,18.218766333221907,18.218766333221907,89.59786703810408,46.12817219278391,0.0,0.0
2030-01-14 22:00:00,55.93373301718496,55.93373301718496,89.01065190638238,0.0,85.0,85.0,0.0,10.0,0.0,0.0
2030-01-14 23:00:00,100.0,116.2537428523898,100.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-15 00:00:00,100.0,116.67596881491953,100.0,0.0,0.0,0.0,0.0,10.0,44.07690865582424,44.07690865582424
2030-01-15 01:00:00,100.0,115.1858953965623,100.0,0.0,0.0,0.0,0.0,10.0,81.34498907962188,81.34498907962188
2030-01-15 02:00:00,100.0,109.52104251727496,100.0,11.952007664961258,0.0,-11.952007664961258,11.338670049920466,14.57204437496793,72.91309365598488,60.96108599102354
2030-01-15 03:00:00,100.0,101.4945787618152,100.0,85.0,0.0,-85.0,91.97675038421414,47.08739934847344,128.8847125624486,43.88471256244861
2030-01-15 04:00:00,97.90293533245642,97.90293533245644,97.90293533245642,85.0,0.0,-85.0,172.61483071850782,79.60275432197896,144.5509807758251,59.55098077582511
2030-01-15 05:00:00,100.0,102.57049917852011,100.0,9.07734838869311,0.0,-9.07734838869311,181.22635952544675,83.07514496993821,106.92833792169222,97.85098953299939
2030-01-15 06:00:00,100.0,107.22489589216605,100.0,18.102606538814385,0.0,-18.102606538814385,198.39999999999998,89.99999999999999,18.10260653881437,0.0
2030-01-15 07:00:00,100.0,117.6876889927204,100.0,0.0,14.546746950114287,14.546746950114287,183.06638236384367,83.81708966284019,0.0,0.0
2030-01-15 08:00:00,100.0,117.47961491472192,100.0,0.0,0.0,0.0,183.06638236384367,83.81708966284019,0.0,0.0
2030-01-15 09:00:00,100.0,109.98366145660316,100.0,16.163052166793648,0.0,-16.163052166793648,198.39999999999998,89.99999999999999,0.0,0.0
2030-01-15 10:00:00,100.0,108.14660189905135,100.0,0.0,0.0,0.0,198.39999999999998,89.99999999999999,0.0,0.0
2030-01-15 11:00:00,100.0,100.63649931383074,100.0,0.0,0.0,0.0,198.39999999999998,89.99999999999999,0.0,0.0
2030-01-15 12:00:00,98.8911341084923,98.8911341084923,98.8911341084923,0.0,0.0,0.0,198.39999999999998,89.99999999999999,0.0,0.0
2030-01-15 13:00:00,76.04959552525324,76.04959552525324,100.0,0.0,61.546977430789234,61.546977430789234,133.5237894065759,63.8402376639419,0.0,0.0
2030-01-15 14:00:00,34.682452891230206,34.682452891230206,67.75937178042761,0.0,85.0,85.0,43.92592236847182,27.712065471157988,0.0,0.0
2030-01-15 15:00:00,29.15248356197852,29.15248356197852,29.15248356197852,0.0,0.0,0.0,43.92592236847182,27.712065471157988,0.0,0.0
2030-01-15 16:00:00,12.526396073852425,12.526396073852425,12.526396073852425,0.0,0.0,0.0,43.92592236847182,27.712065471157988,0.0,0.0
2030-01-15 17:00:00,8.423635158738206,8.423635158738206,8.423635158738206,0.0,0.0,0.0,43.92592236847182,27.712065471157988,0.0,0.0
2030-01-15 18:00:00,27.83143825057846,27.83143825057846,44.04760744461994,0.0,41.671788902432674,41.671788902432674,0.0,10.0,0.0,0.0
2030-01-15 19:00:00,18.84316102253419,18.84316102253419,18.84316102253419,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-15 20:00:00,25.885360313050054,25.885360313050054,25.885360313050054,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-15 21:00:00,1.5172376788955126,1.5172376788955126,1.5172376788955126,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-15 22:00:00,6.501541734640358,6.501541734640358,6.501541734640358,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-15 23:00:00,8.583693452036092,8.583693452036092,8.583693452036092,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 00:00:00,12.94356165495499,12.94356165495499,12.94356165495499,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 01:00:00,8.638622621841078,8.638622621841078,8.638622621841078,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 02:00:00,12.272833621591463,12.272833621591463,12.272833621591463,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 03:00:00,6.3432099949450675,6.3432099949450675,6.3432099949450675,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 04:00:00,37.512328377596496,37.512328377596496,37.512328377596496,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 05:00:00,14.187094319400483,14.187094319400483,14.187094319400483,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 06:00:00,11.311929833645385,11.311929833645385,11.311929833645385,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 07:00:00,7.573553244353507,7.573553244353507,7.573553244353507,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 08:00:00,22.44874538171499,22.44874538171499,22.44874538171499,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 09:00:00,7.167104256846539,7.167104256846539,7.167104256846539,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 10:00:00,14.685335085727585,14.685335085727585,14.685335085727585,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 11:00:00,4.750021859488948,4.750021859488948,4.750021859488948,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 12:00:00,11.106334594330916,11.106334594330916,11.106334594330916,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 13:00:00,23.107255445535053,23.107255445535053,23.107255445535053,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 14:00:00,32.18250858492903,32.18250858492903,32.18250858492903,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 15:00:00,38.48629120461993,38.48629120461993,38.48629120461993,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 16:00:00,54.70629680720054,54.70629680720054,54.70629680720054,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 17:00:00,97.06567197018475,97.06567197018475,97.06567197018475,47.528409308221256,0.0,-47.528409308221256,45.089408093618076,28.18121294097503,0.0,0.0
2030-01-16 18:00:00,68.8769031434772,68.8769031434772,68.8769031434772,0.0,0.0,0.0,45.089408093618076,28.18121294097503,0.0,0.0
2030-01-16 19:00:00,66.88615392753988,66.88615392753988,83.53184811175811,0.0,42.775568377399125,42.775568377399125,0.0,10.0,0.0,0.0
2030-01-16 20:00:00,44.47663246621455,44.47663246621455,44.47663246621455,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 21:00:00,29.269701419588458,29.269701419588458,29.269701419588458,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 22:00:00,34.9153504612573,34.9153504612573,34.9153504612573,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-16 23:00:00,34.95271040839289,34.95271040839289,34.95271040839289,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 00:00:00,79.02004566885122,79.02004566885122,79.02004566885122,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 01:00:00,85.286188804591,85.286188804591,85.286188804591,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 02:00:00,100.0,105.66934842360179,100.0,14.56890884004111,0.0,-14.56890884004111,13.821280487367487,15.573096970712697,0.0,0.0
2030-01-17 03:00:00,100.0,101.28660945230372,100.0,3.306287499514717,0.0,-3.306287499514717,16.957900216710286,16.837862990608983,0.0,0.0
2030-01-17 04:00:00,83.58808890361485,83.58808890361485,83.58808890361485,0.0,0.0,0.0,16.957900216710286,16.837862990608983,0.0,0.0
2030-01-17 05:00:00,77.79823930215296,77.79823930215296,77.79823930215296,0.0,0.0,0.0,16.957900216710286,16.837862990608983,0.0,0.0
2030-01-17 06:00:00,66.07293820418101,66.07293820418101,66.07293820418101,0.0,0.0,0.0,16.957900216710286,16.837862990608983,0.0,0.0
2030-01-17 07:00:00,35.017749519521296,35.017749519521296,35.017749519521296,0.0,0.0,0.0,16.957900216710286,16.837862990608983,0.0,0.0
2030-01-17 08:00:00,43.838010134394295,43.838010134394295,43.838010134394295,0.0,0.0,0.0,16.957900216710286,16.837862990608983,0.0,0.0
2030-01-17 09:00:00,21.61337240413869,21.61337240413869,21.61337240413869,0.0,0.0,0.0,16.957900216710286,16.837862990608983,0.0,0.0
2030-01-17 10:00:00,18.76697059074546,18.76697059074546,25.027332679060365,0.0,16.087676705600234,16.087676705600234,0.0,10.0,0.0,0.0
2030-01-17 11:00:00,17.269622097934036,17.269622097934036,17.269622097934036,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 12:00:00,32.6534291076092,32.6534291076092,32.6534291076092,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 13:00:00,21.51966130625605,21.51966130625605,21.51966130625605,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 14:00:00,9.489798559310524,9.489798559310524,9.489798559310524,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 15:00:00,2.3999117871781825,2.3999117871781825,2.3999117871781825,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 16:00:00,4.457436849796319,4.457436849796319,4.457436849796319,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 17:00:00,9.810281664904911,9.810281664904911,9.810281664904911,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 18:00:00,12.409296541175191,12.409296541175191,12.409296541175191,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 19:00:00,10.559539137683117,10.559539137683117,10.559539137683117,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 20:00:00,9.0899088124306,9.0899088124306,9.0899088124306,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 21:00:00,7.178565692304072,7.178565692304072,7.178565692304072,0.0,0.0,0.0,0.0,10.0,0.0,0.0
2030-01-17 22:00:00,5.578288864731905,5.578288864731905,5.578288864731905,0.0,0.0,0.0,0.0,10.0,0.0,0.0
