trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,average_absolute_power_mw,average_power_utilisation_pct,active_hours,idle_hours,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode,renewable_capacity_mw,peak_load_mw,is_target_endpoint,site,site_pair
c7043a4b7c32f85daa44e095,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,5.0,4.0,0.5,0.4,True,,-3939141.355148372,3631.075681307842,29.51459149490438,-978.5511170320424,0.05014253241929015,-1.2096939475652826,-1.2096939475652826,-120.96939475652826,0.0,53.0,53.0,100.0,61.94296792269375,67.17705070908931,60.459345638180366,127.63639634726968,12.763639634726967,15.95454954340871,0,0.0,0.7597404544480338,7.597404544480338,32,136,10.0,27.586874526191124,90.0,True,True,False,False,False,benchmark,,,,,
803f0d770585d870d14ba578,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,10.0,8.0,1.0,0.8,True,,-3942851.5255452762,3604.154613856505,56.43565894624135,-951.6300495807081,0.09587890988782519,-1.1764138748219704,-1.1764138748219704,-117.64138748219703,0.0,53.0,53.0,100.0,62.03086573922359,124.22418128949793,111.80176316054815,236.0259444500461,11.801297222502305,14.751621528127881,0,0.0,1.4049163360121792,14.049163360121792,32,136,10.0,28.03267508157845,90.0,True,True,False,False,False,benchmark,,,,,
6c2033f6543c22c2ebc9be65,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,15.0,12.0,1.5,1.2,True,,-3945673.8398701106,3585.5561208746194,75.0341519281269,-933.0315565988203,0.12747601118787685,-1.1534222456649128,-1.1534222456649128,-115.34222456649128,0.0,53.0,53.0,100.0,62.102195913734306,165.36455244393102,148.82809719953792,314.19264964346894,10.473088321448964,13.091360401811206,0,0.0,1.8701943431158865,18.701943431158863,47,121,10.0,27.98697725713405,90.0,True,True,False,False,False,benchmark,,,,,
6a25e982b65bb53e0835406d,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,20.0,16.0,2.0,1.6,True,,-3947700.2994652493,3571.3953372581673,89.19493554457904,-918.8707729823691,0.15153385903893363,-1.1359165538973137,-1.1359165538973137,-113.59165538973137,0.0,53.0,53.0,100.0,62.15630460694984,188.61525334633995,169.75372801170596,358.3689813580459,8.959224533951147,11.199030667438935,0,0.0,2.133148698559797,21.33148698559797,48,120,10.0,28.035896071984833,90.0,True,True,False,False,False,benchmark,,,,,
40a7fa57454c269f830d6815,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,30.0,24.0,3.0,2.4,True,,-3951442.8065707977,3546.09711597682,114.49315682592623,-893.5725517010214,0.1945131725411833,-1.1046426586091116,-1.1046426586091116,-110.46426586091115,0.0,53.0,53.0,100.0,62.24432441911997,230.7789554819183,207.70105993372653,438.48001541564486,7.308000256927414,9.135000321159268,0,0.0,2.6100000917597903,26.100000917597903,56,112,10.0,27.86933962327927,90.0,True,True,False,False,False,benchmark,,,,,
7c3fdab1d5819fad764d8759,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,40.0,32.0,4.0,3.2,True,,-3954886.372042321,3520.798894695473,139.79137810727343,-872.0052921281385,0.237492486043433,-1.0779810127157252,-1.0779810127157252,-107.79810127157252,0.0,53.0,53.0,100.0,62.31381374451745,272.5450292423674,245.29052631813062,517.835555560498,6.472944444506226,8.091180555632782,0,0.0,3.0823544973839163,30.823544973839166,62,106,10.0,28.58775709177902,90.0,True,True,False,False,False,benchmark,,,,,
b0f32771b1048eb793e34b45,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,50.0,40.0,5.0,4.0,True,,-3958060.902232848,3495.500673414126,165.08959938862017,-852.9761091383261,0.2804717995456819,-1.0544569605847476,-1.0544569605847476,-105.44569605847475,0.0,53.0,53.0,100.0,62.36655243443534,311.1748622473534,280.05737602261803,591.2322382699715,5.912322382699715,7.390402978374643,0,0.0,3.519239513511735,35.19239513511735,68,100,10.0,28.88202407798272,90.0,True,True,False,False,False,benchmark,,,,,
23185a258d44d6edbe2ad8b0,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,60.0,48.0,6.0,4.8,True,,-3960894.9253663314,3470.202452132779,190.38782066996737,-827.6778878569821,0.3234511130479316,-1.0231830652965497,-1.0231830652965497,-102.31830652965496,0.0,53.0,53.0,100.0,62.41011017199928,347.7012348130992,312.93111133178934,660.6323461448885,5.505269551207404,6.881586939009256,0,0.0,3.9323353937195744,39.32335393719574,75,93,10.0,29.870097994013843,90.0,True,True,False,False,False,benchmark,,,,,
309db307167178ae5ee8cf66,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,80.0,64.0,8.0,6.4,True,,-3964107.557065659,3420.4012663203434,240.18900648240287,-777.8767020445448,0.4080586731610461,-0.9616183784750776,-0.9616183784750776,-96.16183784750775,0.0,54.0,54.0,100.0,62.480428425223145,396.0079121111433,356.40712090002904,752.4150330111723,4.702593956319827,5.878242445399784,0,0.0,4.478660910780787,44.78660910780788,82,86,10.0,31.319950343309376,90.0,True,True,False,False,False,benchmark,,,,,
78bbab386fa0e8524ac631a1,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.000000,health_aware,10.0,90.0,90.0,100.0,10.0,100.0,80.0,10.0,8.0,True,,-3966828.0432990445,3400.997708883038,259.5925639197085,-758.4731446072365,0.44102350372689114,-0.9376315211871934,-0.9376315211871934,-93.76315211871933,0.0,54.0,54.0,100.0,62.504420461515366,424.3003584373381,381.87032259360444,806.1706810309425,4.030853405154713,5.038566756443391,0,0.0,4.798635006136562,47.98635006136563,87,81,10.0,31.23377300674191,90.0,True,True,False,False,False,benchmark,,,,,
