trial_key,scenario,scope,target_label,target_lines,site_count,sites,allocations,model,soc_min_pct,soc_max_pct,round_trip_efficiency_pct,state_of_health_pct,power_mw,nameplate_energy_mwh,usable_energy_mwh,nameplate_duration_hours,usable_duration_hours,solve_ok,error,objective,total_dispatch_down_mwh,dispatch_down_saved_mwh,affected_generator_gain_mwh,total_recovery_fraction,affected_recovery_fraction,target_recovery_fraction,target_recovery_pct,unserved_mwh,target_binding_hours,target_binding_line_hours,target_max_loading_pct,target_mean_max_loading_pct,charge_mwh,discharge_mwh,throughput_mwh,equivalent_full_cycles_nameplate,equivalent_full_cycles_usable,simultaneous_charge_discharge_hours,simultaneous_charge_discharge_mwh,average_absolute_power_mw,average_power_utilisation_pct,active_hours,idle_hours,observed_physical_soc_min_pct,observed_physical_soc_mean_pct,observed_physical_soc_max_pct,unserved_ok,benchmark_available,benchmark_success,headroom_success,success,effective_success_mode,renewable_capacity_mw,peak_load_mw,is_target_endpoint,site,site_pair
ef6983f7ad04eca103d302ee,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,5.0,5.0,0.5,0.5,True,,-3940468.355103613,3625.5902728027454,34.999999999999545,386.8979332531053,0.0594617287851714,0.4782868059068116,0.0594617287851714,5.946172878517145,0.0,53.0,53.0,100.0,61.97088564849304,77.8834054181016,77.8834054181016,155.7668108362032,15.57668108362032,15.57668108362032,0,0.0,0.9271833978345428,9.271833978345429,32,136,0.0,22.16168060754063,100.0,True,True,False,False,False,benchmark,,,,,
0e3dbf8035144677170f8d80,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,10.0,10.0,1.0,1.0,True,,-3945414.581243968,3596.7364850756685,63.853787727077815,405.7517209801808,0.1084816173638131,0.5015940327906752,0.1084816173638131,10.848161736381314,0.0,53.0,53.0,100.0,62.08670119082216,143.13870016329474,143.13870016329474,286.2774003265895,14.313870016329474,14.313870016329474,0,0.0,1.704032144801128,17.04032144801128,32,136,0.0,22.28606409273576,100.0,True,True,False,False,False,benchmark,,,,,
09299f4f470b6a31836fa3a0,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,15.0,15.0,1.5,1.5,True,,-3948225.0519528254,3576.9917798208617,83.59849298188465,420.4964262349895,0.1420260261867985,0.5198215738919255,0.1420260261867985,14.202602618679853,0.0,53.0,53.0,100.0,62.16384890581666,176.18969291761633,176.18969291761633,352.37938583523265,11.745979527841088,11.745979527841088,0,0.0,2.0974963442573373,20.974963442573376,46,122,0.0,23.136553936128468,100.0,True,True,False,False,False,benchmark,,,,,
fcc8e0463b7c88d3e15dcab2,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,20.0,20.0,2.0,2.0,True,,-3950902.5519528254,3561.9917798208617,98.59849298188465,430.4964262349895,0.1675096242375866,0.5321836664439661,0.1675096242375866,16.750962423758665,0.0,53.0,53.0,100.0,62.23333823121416,201.1896929176164,201.1896929176164,402.3793858352327,10.059484645880817,10.059484645880817,0,0.0,2.395115391876385,23.951153918763847,44,124,0.0,22.85836783304873,100.0,True,True,False,False,False,benchmark,,,,,
06495f78d74eb046bca54e1b,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,30.0,30.0,3.0,3.0,True,,-3955457.5519528254,3531.9917798208617,128.59849298188465,450.4964262349895,0.2184768203391628,0.5569078515480473,0.2184768203391628,21.84768203391628,0.0,53.0,53.0,100.0,62.32599066507745,251.1896929176164,251.1896929176164,502.3793858352327,8.372989763920545,8.372989763920545,0,0.0,2.99035348711448,29.903534871144803,54,114,0.0,23.28943896570444,100.0,True,True,False,False,False,benchmark,,,,,
4c6a13196e6421812edac1c1,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,40.0,40.0,4.0,4.0,True,,-3959614.321126704,3501.9917798208617,158.59849298188465,460.4964262349895,0.269444016440739,0.5692699441000879,0.269444016440739,26.9444016440739,0.0,53.0,53.0,100.0,62.39547999047491,297.6513451624668,297.6513451624668,595.3026903249336,7.44128362906167,7.44128362906167,0,0.0,3.543468394791271,35.43468394791271,62,106,0.0,23.45232054758068,100.0,True,True,False,False,False,benchmark,,,,,
8bf6bb14991c6d9295c161db,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,50.0,50.0,5.0,5.0,True,,-3963184.321126704,3471.9917798208617,188.59849298188465,470.4964262349895,0.3204112125423152,0.5816320366521285,0.3204112125423152,32.04112125423152,0.0,53.0,53.0,100.0,62.45703175525801,337.6513451624668,337.6513451624668,675.3026903249336,6.753026903249336,6.753026903249336,0,0.0,4.019658870981748,40.19658870981748,70,98,0.0,25.24433622795728,100.0,True,True,False,False,False,benchmark,,,,,
9063b7db727e2b874a9e8d20,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,60.0,60.0,6.0,6.0,True,,-3965510.1352534215,3441.9917798208617,218.59849298188465,490.4964262349895,0.3713784086438914,0.6063562217562097,0.3713784086438914,37.13784086438914,0.0,53.0,53.0,100.0,62.50335797218965,373.3062874995147,373.3062874995147,746.6125749990294,6.221771458325246,6.221771458325246,0,0.0,4.444122470232318,44.44122470232318,77,91,0.0,26.70470364903281,100.0,True,True,False,False,False,benchmark,,,,,
97cd67084e1e07fb2b822aa2,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,80.0,80.0,8.0,8.0,True,,-3969480.1352534215,3411.9917798208617,248.59849298188465,510.4964262349895,0.4223456047454676,0.631080406860291,0.4223456047454676,42.23456047454676,0.0,54.0,54.0,100.0,62.54968418912132,413.3062874995147,413.3062874995147,826.6125749990294,5.166328593743934,5.166328593743934,0,0.0,4.920312946422794,49.20312946422794,86,82,0.0,27.002166744272483,100.0,True,True,False,False,False,benchmark,,,,,
860a7843059bac904603b0a9,WP2033,north-west,5041-17010-2,5041-17010-2,1,Croaghonagh,1.0,theoretical,0.0,100.0,100.0,100.0,10.0,100.0,100.0,10.0,10.0,True,,-3972265.135253421,3391.9917798208617,268.59849298188465,530.4964262349895,0.4563237354798517,0.6558045919643721,0.4563237354798517,45.632373547985175,0.0,54.0,54.0,100.0,62.64233662298461,443.3062874995147,443.3062874995147,886.6125749990294,4.433062874995147,4.433062874995147,0,0.0,5.277455803565651,52.77455803565651,92,76,0.0,27.59667668216708,100.0,True,True,False,False,False,benchmark,,,,,
