snapshot,estimated_target_excess_mw
2030-01-14 06:00:00,0.0
2030-01-14 07:00:00,55.55296917510182
2030-01-14 08:00:00,57.96503471999907
2030-01-14 09:00:00,23.557762547450807
2030-01-14 10:00:00,28.169603982845928
2030-01-14 11:00:00,19.277993200282708
2030-01-14 12:00:00,0.0
2030-01-14 13:00:00,0.0
2030-01-14 14:00:00,0.0
2030-01-14 15:00:00,63.46782453224873
2030-01-14 16:00:00,0.0
2030-01-14 17:00:00,28.784158889513407
2030-01-14 18:00:00,0.0
2030-01-14 19:00:00,0.0
2030-01-14 20:00:00,0.0
2030-01-14 21:00:00,0.0
2030-01-14 22:00:00,0.0
2030-01-14 23:00:00,34.34285999001858
2030-01-15 00:00:00,35.229534511331025
2030-01-15 01:00:00,32.100380332780844
2030-01-15 02:00:00,20.204189286277455
2030-01-15 03:00:00,3.3486153998119335
2030-01-15 04:00:00,0.0
2030-01-15 05:00:00,5.608048274892212
2030-01-15 06:00:00,15.382281373548693
2030-01-15 07:00:00,37.35414688471286
2030-01-15 08:00:00,36.91719132091606
2030-01-15 09:00:00,21.175689058866652
2030-01-15 10:00:00,17.317863988007815
2030-01-15 11:00:00,1.5466485590445416
2030-01-15 12:00:00,0.0
2030-01-15 13:00:00,0.0
2030-01-15 14:00:00,0.0
2030-01-15 15:00:00,0.0
2030-01-15 16:00:00,0.0
2030-01-15 17:00:00,0.0
2030-01-15 18:00:00,0.0
2030-01-15 19:00:00,0.0
2030-01-15 20:00:00,0.0
2030-01-15 21:00:00,0.0
2030-01-15 22:00:00,0.0
2030-01-15 23:00:00,0.0
2030-01-16 00:00:00,0.0
2030-01-16 01:00:00,0.0
2030-01-16 02:00:00,0.0
2030-01-16 03:00:00,0.0
2030-01-16 04:00:00,0.0
2030-01-16 05:00:00,0.0
2030-01-16 06:00:00,0.0
2030-01-16 07:00:00,0.0
2030-01-16 08:00:00,0.0
2030-01-16 09:00:00,0.0
2030-01-16 10:00:00,0.0
2030-01-16 11:00:00,0.0
2030-01-16 12:00:00,0.0
2030-01-16 13:00:00,0.0
2030-01-16 14:00:00,0.0
2030-01-16 15:00:00,0.0
2030-01-16 16:00:00,0.0
2030-01-16 17:00:00,0.0
2030-01-16 18:00:00,0.0
2030-01-16 19:00:00,0.0
2030-01-16 20:00:00,0.0
2030-01-16 21:00:00,0.0
2030-01-16 22:00:00,0.0
2030-01-16 23:00:00,0.0
2030-01-17 00:00:00,0.0
2030-01-17 01:00:00,0.0
2030-01-17 02:00:00,12.11563168956377
2030-01-17 03:00:00,2.911879849837817
2030-01-17 04:00:00,0.0
2030-01-17 05:00:00,0.0
2030-01-17 06:00:00,0.0
2030-01-17 07:00:00,0.0
2030-01-17 08:00:00,0.0
2030-01-17 09:00:00,0.0
2030-01-17 10:00:00,0.0
2030-01-17 11:00:00,0.0
2030-01-17 12:00:00,0.0
2030-01-17 13:00:00,0.0
2030-01-17 14:00:00,0.0
2030-01-17 15:00:00,0.0
2030-01-17 16:00:00,0.0
2030-01-17 17:00:00,0.0
2030-01-17 18:00:00,0.0
2030-01-17 19:00:00,0.0
2030-01-17 20:00:00,0.0
2030-01-17 21:00:00,0.0
2030-01-17 22:00:00,0.0
2030-01-17 23:00:00,0.0
2030-01-18 00:00:00,0.0
2030-01-18 01:00:00,0.0
2030-01-18 02:00:00,0.0
2030-01-18 03:00:00,0.0
2030-01-18 04:00:00,0.0
2030-01-18 05:00:00,0.0
2030-01-18 06:00:00,0.0
2030-01-18 07:00:00,0.0
2030-01-18 08:00:00,0.0
2030-01-18 09:00:00,0.0
2030-01-18 10:00:00,0.0
2030-01-18 11:00:00,0.0
2030-01-18 12:00:00,0.0
2030-01-18 13:00:00,0.0
2030-01-18 14:00:00,0.0
2030-01-18 15:00:00,0.0
2030-01-18 16:00:00,62.09057373140476
2030-01-18 17:00:00,30.339042818677967
2030-01-18 18:00:00,0.0
2030-01-18 19:00:00,0.0
2030-01-18 20:00:00,0.0
2030-01-18 21:00:00,0.0
2030-01-18 22:00:00,0.0
2030-01-18 23:00:00,40.297742316326435
2030-01-19 00:00:00,0.0
2030-01-19 01:00:00,0.0
2030-01-19 02:00:00,0.0
2030-01-19 03:00:00,0.0
2030-01-19 04:00:00,0.0
2030-01-19 05:00:00,0.0
2030-01-19 06:00:00,3.4484054596400995
2030-01-19 07:00:00,35.22576570021644
2030-01-19 08:00:00,63.07285705281336
2030-01-19 09:00:00,90.14452555066069
2030-01-19 10:00:00,39.69995445738451
2030-01-19 11:00:00,35.36981689058149
2030-01-19 12:00:00,81.62738162122596
2030-01-19 13:00:00,20.58614842355675
2030-01-19 14:00:00,0.0
2030-01-19 15:00:00,0.0
2030-01-19 16:00:00,81.41280992580445
2030-01-19 17:00:00,46.16730622455776
2030-01-19 18:00:00,85.18993279755293
2030-01-19 19:00:00,94.63234914432573
2030-01-19 20:00:00,71.97457500752418
2030-01-19 21:00:00,56.66265037436446
2030-01-19 22:00:00,0.0
2030-01-19 23:00:00,0.0
2030-01-20 00:00:00,0.0
2030-01-20 01:00:00,0.0
2030-01-20 02:00:00,0.0
2030-01-20 03:00:00,4.9525001863252385
2030-01-20 04:00:00,36.78122034284041
2030-01-20 05:00:00,0.0
2030-01-20 06:00:00,0.0
2030-01-20 07:00:00,0.0
2030-01-20 08:00:00,31.77896401549191
2030-01-20 09:00:00,0.0
2030-01-20 10:00:00,33.56096852942113
2030-01-20 11:00:00,16.523770303836983
2030-01-20 12:00:00,34.080107979453004
2030-01-20 13:00:00,30.277082351464543
2030-01-20 14:00:00,32.02111161445387
2030-01-20 15:00:00,76.96110873032919
2030-01-20 16:00:00,45.69091092091213
2030-01-20 17:00:00,76.17128384142669
2030-01-20 18:00:00,64.91832032020287
2030-01-20 19:00:00,78.84566321004391
2030-01-20 20:00:00,75.43719925699398
2030-01-20 21:00:00,0.0
2030-01-20 22:00:00,0.0
2030-01-20 23:00:00,0.0
2030-01-21 00:00:00,0.0
2030-01-21 01:00:00,0.0
2030-01-21 02:00:00,0.0
2030-01-21 03:00:00,0.0
2030-01-21 04:00:00,0.0
2030-01-21 05:00:00,0.0
