rating_multiplier,total_dispatch_down_mwh,constraint_based_dispatch_down_mwh,saved_vs_baseline_mwh,unserved_mwh,binding_line_count
0.75,5926.268454150296,2854.292079985623,-2265.6781813475495,0.0,1
1.0,3660.5902728027463,588.6138986380734,0.0,0.0,1
1.1,3232.775932755461,160.7995585907879,427.81434004728544,0.0,1
1.25,3071.976374164673,0.0,588.6138986380734,0.0,1
1.5,3071.976374164673,0.0,588.6138986380734,0.0,1
2.0,3071.9763741646725,0.0,588.6138986380738,0.0,0
