left_mode_id,right_mode_id,ac_component,membership_jaccard,positive_relief_cosine,pair_passes_thresholds,merged
3581-89516-1::+1,T89510-89515-1::-1,3,0.8157894736842105,0.8410363762362721,False,False
3581-89516-1::+1,T89515-89516-1::-1,3,0.9459459459459459,0.9435165994884708,False,False
3581-89516-1::+1,T3662-36671-1::+1,3,0.0,0.025479533241663306,False,False
3581-89516-1::+1,2742-3662-1::+1,3,0.0,0.04885696642139412,False,False
3581-89516-1::+1,2781-4951-1::-1,3,0.0,0.025168913037532426,False,False
3581-89516-1::+1,1122-11260-1::-1,3,0.0,1.6970950352230892e-14,False,False
3581-89516-1::+1,T3464-3462-34641-1-w1::+1,3,0.025974025974025976,0.03380047666590604,False,False
3581-89516-1::+1,T3464-3462-34641-1-w2::-1,3,0.07643312101910828,0.03474760996346631,False,False
3581-89516-1::+1,T3934-3942-39402-1-w1::+1,3,0.025974025974025976,0.035163855103369175,False,False
3581-89516-1::+1,1122-1742-1::+1,3,0.0,0.007273506526613931,False,False
3581-89516-1::+1,3621-5301-1::+1,3,0.0,0.004471670340524111,False,False
3581-89516-1::+1,3082-3122-1::-1,3,0.0,0.0061116581665713165,False,False
3581-89516-1::+1,T54640-54630-1::+1,3,0.0,0.8730578896304508,False,False
3581-89516-1::+1,3691-4041-1::+1,3,0.14606741573033707,0.09597816972652716,False,False
3581-89516-1::+1,2561-3781-1::+1,3,0.09785522788203753,0.2555546008861495,False,False
T89510-89515-1::-1,T89515-89516-1::-1,3,0.863013698630137,0.8913848221561264,False,False
T89510-89515-1::-1,T3662-36671-1::+1,3,0.0,0.021429214305839196,False,False
T89510-89515-1::-1,2742-3662-1::+1,3,0.0,0.04109048599301729,False,False
T89510-89515-1::-1,2781-4951-1::-1,3,0.0,0.021167971414881286,False,False
T89510-89515-1::-1,1122-11260-1::-1,3,0.0,1.4273186585563703e-14,False,False
T89510-89515-1::-1,T3464-3462-34641-1-w1::+1,3,0.013157894736842105,0.028427430410297633,False,False
T89510-89515-1::-1,T3464-3462-34641-1-w2::-1,3,0.047619047619047616,0.02922400396669273,False,False
T89510-89515-1::-1,T3934-3942-39402-1-w1::+1,3,0.013157894736842105,0.029574081270780594,False,False
T89510-89515-1::-1,1122-1742-1::+1,3,0.0,0.006117283571718408,False,False
T89510-89515-1::-1,3621-5301-1::+1,3,0.0,0.0037608374189350975,False,False
T89510-89515-1::-1,3082-3122-1::-1,3,0.0,0.005140126837242523,False,False
T89510-89515-1::-1,T54640-54630-1::+1,3,0.0,0.788335566785665,False,False
T89510-89515-1::-1,3691-4041-1::+1,3,0.10588235294117647,0.08072113206469764,False,False
T89510-89515-1::-1,2561-3781-1::+1,3,0.0871313672922252,0.24921207379479582,False,False
T89515-89516-1::-1,T3662-36671-1::+1,3,0.0,0.024040362560499743,False,False
T89515-89516-1::-1,2742-3662-1::+1,3,0.0,0.04609735881899404,False,False
T89515-89516-1::-1,2781-4951-1::-1,3,0.0,0.023747287242084254,False,False
T89515-89516-1::-1,1122-11260-1::-1,3,0.0,1.601237336634279e-14,False,False
T89515-89516-1::-1,T3464-3462-34641-1-w1::+1,3,0.02280130293159609,0.0318913108047888,False,False
T89515-89516-1::-1,T3464-3462-34641-1-w2::-1,3,0.07348242811501597,0.03278494679296568,False,False
T89515-89516-1::-1,T3934-3942-39402-1-w1::+1,3,0.02280130293159609,0.033177680991918215,False,False
T89515-89516-1::-1,1122-1742-1::+1,3,0.0,0.006862674144342754,False,False
T89515-89516-1::-1,3621-5301-1::+1,3,0.0,0.004219095193875674,False,False
T89515-89516-1::-1,3082-3122-1::-1,3,0.0,0.0057664509305492325,False,False
T89515-89516-1::-1,T54640-54630-1::+1,3,0.0,0.8495134453148981,False,False
T89515-89516-1::-1,3691-4041-1::+1,3,0.13636363636363635,0.09055699632514765,False,False
T89515-89516-1::-1,2561-3781-1::+1,3,0.09517426273458444,0.2532506875770456,False,False
T3662-36671-1::+1,2742-3662-1::+1,3,0.0,0.0,False,False
T3662-36671-1::+1,2781-4951-1::-1,3,0.0,0.0,False,False
T3662-36671-1::+1,1122-11260-1::-1,3,0.0,0.0938004646889043,False,False
T3662-36671-1::+1,T3464-3462-34641-1-w1::+1,3,0.0,0.20644176839087403,False,False
T3662-36671-1::+1,T3464-3462-34641-1-w2::-1,3,0.0,0.21022586316196723,False,False
T3662-36671-1::+1,T3934-3942-39402-1-w1::+1,3,0.0,0.20568207046488196,False,False
T3662-36671-1::+1,1122-1742-1::+1,3,0.0,0.4635674188550115,False,False
T3662-36671-1::+1,3621-5301-1::+1,3,0.0,9.1924864423154e-15,False,False
T3662-36671-1::+1,3082-3122-1::-1,3,0.0,0.3480551263688686,False,False
T3662-36671-1::+1,T54640-54630-1::+1,3,0.0,0.0,False,False
T3662-36671-1::+1,3691-4041-1::+1,3,0.0,0.20950010566694735,False,False
