snapshot,5041-17010-2
2030-01-14 06:00:00,1.093550522245313
2030-01-14 07:00:00,1.1513572580572877
2030-01-14 08:00:00,1.1545165055492739
2030-01-14 09:00:00,1.211938241136088
2030-01-14 10:00:00,1.1913537109148802
2030-01-14 11:00:00,1.2295793022445864
2030-01-14 12:00:00,1.0750020139643754
2030-01-14 13:00:00,1.0733843546891435
2030-01-14 14:00:00,1.034952130857628
2030-01-14 15:00:00,1.153483528822147
2030-01-14 16:00:00,1.121570742819403
2030-01-14 17:00:00,1.1604173837021003
2030-01-14 18:00:00,1.1109641072235326
2030-01-14 19:00:00,1.1203607691357604
2030-01-14 20:00:00,1.0613607926578135
2030-01-14 21:00:00,1.071948090259262
2030-01-14 22:00:00,1.0526078952025417
2030-01-14 23:00:00,1.1368552063782709
2030-01-15 00:00:00,1.193702183897782
2030-01-15 01:00:00,1.2115763427967607
2030-01-15 02:00:00,1.214096932150196
2030-01-15 03:00:00,1.2470235645971537
2030-01-15 04:00:00,1.2569787750913683
2030-01-15 05:00:00,1.2425970586629995
2030-01-15 06:00:00,1.205225754787493
2030-01-15 07:00:00,1.1586036040748122
2030-01-15 08:00:00,1.1805548367233565
2030-01-15 09:00:00,1.2056956843721887
2030-01-15 10:00:00,1.16730046519436
2030-01-15 11:00:00,1.1861742651264673
2030-01-15 12:00:00,1.1451687156659727
2030-01-15 13:00:00,1.094217558005196
2030-01-15 14:00:00,1.050924732269811
2030-01-15 15:00:00,1.0262788809180188
2030-01-15 16:00:00,1.0115904232291775
2030-01-15 17:00:00,1.0020997340259332
2030-01-15 18:00:00,1.0286247227717427
2030-01-15 19:00:00,1.007600788046897
2030-01-15 20:00:00,1.0144201974090776
2030-01-15 21:00:00,1.0
2030-01-15 22:00:00,1.0
2030-01-15 23:00:00,1.0
2030-01-16 00:00:00,1.0
2030-01-16 01:00:00,1.0
2030-01-16 02:00:00,1.0
2030-01-16 03:00:00,1.0
2030-01-16 04:00:00,1.0182582386581402
2030-01-16 05:00:00,1.0
2030-01-16 06:00:00,1.0
2030-01-16 07:00:00,1.0
